osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
335582940,4,Советская улица,secondary,60,False,False,81.654,"LINESTRING (40.9283721 57.7663672, 40.9287286 57.7662438, 40.9291068 57.7661565, 40.9296103 57.7660529)"
415762140,,Табачные ряды,residential,,False,True,95.60399999999998,"LINESTRING (40.9283721 57.7663672, 40.9282359 57.7663035, 40.9274344 57.7659584, 40.9271226 57.7658241)"
"[1068737961, 127607708]",4,Советская улица,secondary,60,False,True,134.48000000000002,"LINESTRING (40.9283721 57.7663672, 40.9282776 57.766413, 40.9281854 57.7664605, 40.9276191 57.7668213, 40.9268768 57.7672753)"
"[495613664, 41397894, 1071880839, 852263371, 1174954428]",4,проспект Текстильщиков,secondary,60,False,False,251.327,"LINESTRING (40.9217212 57.770829, 40.9223485 57.770424, 40.9227121 57.7701973, 40.9229151 57.7700582, 40.9232256 57.7698577, 40.9244242 57.7690883)"
"[1161667784, 1161667785, 1161667786, 1163537637]",2,Пятницкая улица,secondary,60,False,True,93.083,"LINESTRING (40.9217212 57.770829, 40.9218555 57.7708618, 40.9221167 57.7709173, 40.922652 57.7710278, 40.9228434 57.7710675, 40.9231802 57.7711374)"
186454784,2,улица Князева,secondary,60,False,True,148.89100000000002,"LINESTRING (40.9313482 57.7718727, 40.9319623 57.7714873, 40.9321403 57.7713774, 40.9322026 57.7713389, 40.932593 57.7710998, 40.9329191 57.7708995, 40.9329903 57.7708599)"
186454782,1,,tertiary,,True,False,46.414,"LINESTRING (40.9282467 57.7678784, 40.9278745 57.7681415, 40.9277724 57.7682104)"
"[511143602, 41397891]",4,Сусанинская площадь,secondary,60,False,False,109.12700000000001,"LINESTRING (40.9257296 57.7680419, 40.9260776 57.7677871, 40.926286 57.7676452, 40.92654 57.7674862, 40.9268768 57.7672753)"
366801535,,Мучные ряды,tertiary,,False,True,152.359,"LINESTRING (40.9257296 57.7680419, 40.9255532 57.7679538, 40.9245185 57.7674467, 40.9238395 57.7671139)"
"[1220063329, 1218490420, 378606005]",4,проспект Текстильщиков,secondary,60,False,True,139.776,"LINESTRING (40.9257296 57.7680419, 40.9253295 57.7683484, 40.9251653 57.7684756, 40.9247736 57.7687963, 40.9244242 57.7690883)"
366799350,,улица Островского,tertiary,,False,False,171.68900000000002,"LINESTRING (40.9217464 57.7678808, 40.9225739 57.7673694, 40.9230877 57.7670518, 40.9234128 57.7669937, 40.9236242 57.7670153, 40.9238395 57.7671139)"
40724837,,улица Щемиловка,tertiary,,True,False,208.227,"LINESTRING (40.9244242 57.7690883, 40.923079 57.7684979, 40.9228882 57.7684379, 40.9217464 57.7678808)"
"[495613664, 41397894, 1071880839, 852263371, 1174954428]",4,проспект Текстильщиков,secondary,60,False,True,251.327,"LINESTRING (40.9244242 57.7690883, 40.9232256 57.7698577, 40.9229151 57.7700582, 40.9227121 57.7701973, 40.9223485 57.770424, 40.9217212 57.770829)"
"[1220063329, 1218490420, 378606005]",4,проспект Текстильщиков,secondary,60,False,False,139.77599999999998,"LINESTRING (40.9244242 57.7690883, 40.9247736 57.7687963, 40.9251653 57.7684756, 40.9253295 57.7683484, 40.9257296 57.7680419)"
"[1238792340, 1238792341]",2,улица 1 Мая,tertiary,,False,False,20.715,"LINESTRING (40.9211882 57.765224, 40.9213214 57.7651624, 40.9214476 57.7650993)"
