osmid,name,highway,oneway,reversed,length,geometry,maxspeed
52894625,Первомайская улица,residential,False,False,82.49,"LINESTRING (57.7214282 58.2868717, 57.7210696 58.2861542)",
52894635,Комсомольская улица,residential,False,False,404.131,"LINESTRING (57.7214282 58.2868717, 57.7220388 58.2868174, 57.7233698 58.2867155, 57.7247569 58.286443, 57.7263889 58.2861223, 57.7274035 58.2860894, 57.727969 58.2858638)",
52894625,Первомайская улица,residential,False,True,82.49,"LINESTRING (57.7210696 58.2861542, 57.7214282 58.2868717)",
231931758,Советская улица,residential,False,False,337.651,"LINESTRING (57.7210696 58.2861542, 57.721636 58.2859951, 57.7229406 58.2857648, 57.7242223 58.2856368, 57.724904 58.2855687, 57.7256675 58.2855824, 57.7259385 58.2855071, 57.7264282 58.2852523)",
428922341,улица Гоголя,residential,False,False,118.191,"LINESTRING (57.7262662 58.282432, 57.7270156 58.2834192)",
428922341,улица Гоголя,residential,False,True,93.83,"LINESTRING (57.7262662 58.282432, 57.7255747 58.2816705)",
52894630,Клубная улица,residential,False,False,317.164,"LINESTRING (57.7262662 58.282432, 57.7300146 58.2813705, 57.7302702 58.2812961, 57.7307909 58.281092, 57.7310094 58.2810615)",
428743470,улица Гагарина,residential,False,False,238.127,"LINESTRING (57.7317712 58.2809923, 57.7319442 58.2810013, 57.732354 58.2809121, 57.7352672 58.2799347)",
232831520,улица Зайцева,residential,False,False,115.282,"LINESTRING (57.7238666 58.2821886, 57.7255747 58.2816705)",
52894621,улица Чайковского,residential,False,False,151.029,"LINESTRING (57.7238666 58.2821886, 57.7237233 58.2819742, 57.7234479 58.2813418, 57.7232646 58.2808693)",
52894621,улица Чайковского,residential,False,True,121.719,"LINESTRING (57.7238666 58.2821886, 57.7239338 58.2823441, 57.7248709 58.283139)",
428482303,Кирпичная улица,residential,False,True,108.685,"LINESTRING (57.7352672 58.2799347, 57.736141 58.2805291, 57.736351 58.2807265)",
428743470,улица Гагарина,residential,False,True,238.127,"LINESTRING (57.7352672 58.2799347, 57.732354 58.2809121, 57.7319442 58.2810013, 57.7317712 58.2809923)",
"[428743472, 52894623]","['улица Гагарина', 'улица Пушкина']",residential,False,True,636.389,"LINESTRING (57.736351 58.2807265, 57.7359061 58.2806236, 57.7355712 58.2806375, 57.732399 58.2817131, 57.7308417 58.2821785, 57.7280567 58.2831118, 57.7276632 58.2832437, 57.7270156 58.2834192)",
428482303,Кирпичная улица,residential,False,False,108.685,"LINESTRING (57.736351 58.2807265, 57.736141 58.2805291, 57.7352672 58.2799347)",
428482306,Проточная улица,residential,False,True,109.775,"LINESTRING (57.736351 58.2807265, 57.7369545 58.2802968, 57.7374856 58.27994)",
52894621,улица Чайковского,residential,False,False,81.301,"LINESTRING (57.7257379 58.2837107, 57.7248709 58.283139)",
52894621,улица Чайковского,residential,False,True,134.254,"LINESTRING (57.7257379 58.2837107, 57.7272562 58.2846166)",
428743472,улица Пушкина,residential,False,False,81.421,"LINESTRING (57.7257379 58.2837107, 57.7270156 58.2834192)",
52894621,улица Чайковского,residential,False,False,134.254,"LINESTRING (57.7272562 58.2846166, 57.7257379 58.2837107)",
231931758,Советская улица,residential,False,False,51.665,"LINESTRING (57.7272562 58.2846166, 57.7280163 58.2843795)",
231931758,Советская улица,residential,False,True,85.669,"LINESTRING (57.7272562 58.2846166, 57.7264282 58.2852523)",
52907823,Пионерская улица,residential,False,True,106.29,"LINESTRING (57.727969 58.2858638, 57.7284544 58.286785)",
52894635,Комсомольская улица,residential,False,True,404.131,"LINESTRING (57.727969 58.2858638, 57.7274035 58.2860894, 57.7263889 58.2861223, 57.7247569 58.286443, 57.7233698 58.2867155, 57.7220388 58.2868174, 57.7214282 58.2868717)",
52907823,Пионерская улица,residential,False,False,112.98400000000001,"LINESTRING (57.727969 58.2858638, 57.7273866 58.2856624, 57.7264282 58.2852523)",
54254122,Октябрьская улица,residential,False,False,531.477,"LINESTRING (57.727969 58.2858638, 57.7282518 58.2856357, 57.7284295 58.2855405, 57.7293858 58.2852509, 57.7301249 58.2850357, 57.7329773 58.2842044, 57.7346614 58.2836752, 57.735348 58.2833909, 57.7354728 58.2832624)",
231931757,улица Новосёлов,residential,False,True,145.873,"LINESTRING (57.7355701 58.2844623, 57.7361591 58.2831875)",
52907808,Набережная улица,tertiary,False,True,496.32500000000005,"LINESTRING (57.7355701 58.2844623, 57.7340316 58.2852167, 57.7337239 58.2853676, 57.7324618 58.2858985, 57.7320986 58.2859989, 57.7315661 58.2861101, 57.7313859 58.2861544, 57.7311403 58.2862114, 57.7284544 58.286785)",60
231931757,улица Новосёлов,residential,False,False,145.873,"LINESTRING (57.7361591 58.2831875, 57.7355701 58.2844623)",
52894619,улица Новосёлов,residential,False,True,41.086999999999996,"LINESTRING (57.7361591 58.2831875, 57.7359439 58.283224, 57.7354728 58.2832624)",
