osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
44645354,2,улица Карла Либкнехта,secondary,40,False,False,113.289,"LINESTRING (55.3327146 57.9398562, 55.3311127 57.9394146, 55.3310128 57.9393851)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,370.37800000000004,"LINESTRING (55.3327146 57.9398562, 55.3328231 57.939884, 55.3341032 57.9402126, 55.3345631 57.9403277, 55.3350568 57.9404574, 55.3355119 57.9405742, 55.3360434 57.9407106, 55.3364347 57.940811, 55.3368702 57.9409228, 55.3374768 57.941087, 55.3383452 57.9413262)"
208859044,,улица Ширинкина,residential,,False,False,120.482,"LINESTRING (55.3327146 57.9398562, 55.332939 57.939772, 55.3331891 57.9396781, 55.3343815 57.9392308)"
208859044,,улица Ширинкина,residential,,False,True,100.061,"LINESTRING (55.3327146 57.9398562, 55.3326977 57.9398651, 55.3315117 57.9404903)"
44645357,,улица Володарского,residential,,False,True,117.27,"LINESTRING (55.3343815 57.9392308, 55.3354385 57.9394944, 55.3361797 57.9396793)"
208859044,,улица Ширинкина,residential,,False,True,120.482,"LINESTRING (55.3343815 57.9392308, 55.3331891 57.9396781, 55.332939 57.939772, 55.3327146 57.9398562)"
44645354,2,улица Карла Либкнехта,secondary,40,False,False,13.802,"LINESTRING (55.3310128 57.9393851, 55.3308046 57.9393286)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,113.289,"LINESTRING (55.3310128 57.9393851, 55.3311127 57.9394146, 55.3327146 57.9398562)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,65.268,"LINESTRING (55.329863 57.939021, 55.3301512 57.9391205, 55.3308046 57.9393286)"
450522133,1,,secondary,60,True,False,44.284000000000006,"LINESTRING (55.329863 57.939021, 55.32956 57.938959, 55.329314 57.938962, 55.329152 57.939003)"
203843307,,Торговая улица,tertiary,60,False,True,103.87,"LINESTRING (55.3242904 57.9439482, 55.3257244 57.9444898)"
135999537,,Комсомольская улица,residential,,False,True,116.83099999999999,"LINESTRING (55.3242904 57.9439482, 55.3252475 57.9432853, 55.3254937 57.9431139)"
91451476,,улица Королёва,residential,,False,False,68.726,"LINESTRING (55.3380484 57.9439691, 55.338811 57.943502)"
91451476,,улица Королёва,residential,,False,True,113.756,"LINESTRING (55.3380484 57.9439691, 55.3368411 57.9447666)"
91290419,,улица Льва Толстого,residential,,False,False,161.066,"LINESTRING (55.3380484 57.9439691, 55.3384069 57.9440438, 55.3386903 57.9442295, 55.3398704 57.9450156)"
91290422,,улица Некрасова,tertiary,,False,False,102.885,"LINESTRING (55.3278216 57.941346, 55.3292401 57.9418838)"
91290422,,улица Некрасова,tertiary,,False,True,111.29199999999999,"LINESTRING (55.3278216 57.941346, 55.3277878 57.9413333, 55.3269281 57.9410112, 55.3264047 57.9408151, 55.3262638 57.9407859)"
135999537,,Комсомольская улица,residential,,False,False,119.987,"LINESTRING (55.3278216 57.941346, 55.326936 57.9419976, 55.3266353 57.9422223)"
135999537,,Комсомольская улица,residential,,False,True,285.498,"LINESTRING (55.3278216 57.941346, 55.3290745 57.9404136, 55.3292946 57.9402498, 55.3297508 57.9399715, 55.3307811 57.939343, 55.3308046 57.9393286)"
91451047,,улица Матросова,residential,,False,False,128.578,"LINESTRING (55.3380709 57.9469918, 55.33975 57.9462549)"
91454219,,Красноармейская улица,residential,,False,False,81.07300000000001,"LINESTRING (55.3380709 57.9469918, 55.3383384 57.947211, 55.3389205 57.9475625)"
91454219,,Красноармейская улица,residential,,False,True,92.701,"LINESTRING (55.3380709 57.9469918, 55.3375274 57.946608, 55.3370755 57.9463482)"
91451047,,улица Матросова,residential,,False,True,128.578,"LINESTRING (55.33975 57.9462549, 55.3380709 57.9469918)"
91290422,,улица Некрасова,tertiary,,False,True,101.495,"LINESTRING (55.33975 57.9462549, 55.339161 57.9459157, 55.3385664 57.9455928)"
91451279,,улица Серова,residential,,False,True,100.207,"LINESTRING (55.3398704 57.9450156, 55.3385664 57.9455928)"
91290419,,улица Льва Толстого,residential,,False,True,161.066,"LINESTRING (55.3398704 57.9450156, 55.3386903 57.9442295, 55.3384069 57.9440438, 55.3380484 57.9439691)"
91290422,,улица Некрасова,tertiary,,False,True,137.138,"LINESTRING (55.3385664 57.9455928, 55.3368411 57.9447666)"
91451279,,улица Серова,residential,,False,False,100.207,"LINESTRING (55.3385664 57.9455928, 55.3398704 57.9450156)"
91290422,,улица Некрасова,tertiary,,False,False,101.495,"LINESTRING (55.3385664 57.9455928, 55.339161 57.9459157, 55.33975 57.9462549)"
91451279,,улица Серова,residential,,False,True,121.702,"LINESTRING (55.3385664 57.9455928, 55.3374276 57.9461898, 55.3370755 57.9463482)"
91451476,,улица Королёва,residential,,False,True,96.852,"LINESTRING (55.3307667 57.9473414, 55.3294443 57.9478573)"
203843307,,Торговая улица,tertiary,60,False,False,115.41,"LINESTRING (55.3307667 57.9473414, 55.3295872 57.9465135)"
91451476,,улица Королёва,residential,,False,False,303.661,"LINESTRING (55.3307667 57.9473414, 55.3330717 57.9464403, 55.3339615 57.9463297, 55.3343171 57.9461872, 55.3349843 57.9458484)"
91290422,,улица Некрасова,tertiary,,False,False,137.138,"LINESTRING (55.3368411 57.9447666, 55.3385664 57.9455928)"
91451476,,улица Королёва,residential,,False,False,113.756,"LINESTRING (55.3368411 57.9447666, 55.3380484 57.9439691)"
91451476,,улица Королёва,residential,,False,True,132.515,"LINESTRING (55.3368411 57.9447666, 55.3353514 57.9456583)"
91290422,,улица Некрасова,tertiary,,False,True,104.544,"LINESTRING (55.3368411 57.9447666, 55.336009 57.9444191, 55.3354154 57.9442098)"
91451476,,улица Королёва,residential,,False,False,132.515,"LINESTRING (55.3353514 57.9456583, 55.3368411 57.9447666)"
91451476,,улица Королёва,residential,,False,True,30.268,"LINESTRING (55.3353514 57.9456583, 55.3349843 57.9458484)"
91454219,,Красноармейская улица,residential,,False,True,105.186,"LINESTRING (55.3353514 57.9456583, 55.3338991 57.9451099)"
91454219,,Красноармейская улица,residential,,False,False,127.773,"LINESTRING (55.3353514 57.9456583, 55.3357187 57.9457634, 55.3370755 57.9463482)"
91454219,,Красноармейская улица,residential,,False,False,50.606,"LINESTRING (55.3332265 57.9448276, 55.3338991 57.9451099)"
91454219,,Красноармейская улица,residential,,False,True,49.617,"LINESTRING (55.3332265 57.9448276, 55.3325929 57.9445343)"
91451690,,улица Гагарина,residential,,False,True,286.18,"LINESTRING (55.3332265 57.9448276, 55.3317628 57.9456545, 55.3295872 57.9465135)"
91451690,,улица Гагарина,residential,,False,False,244.475,"LINESTRING (55.3263703 57.9478989, 55.3295872 57.9465135)"
91453247,,,residential,,False,True,91.688,"LINESTRING (55.3263703 57.9478989, 55.3254344 57.9472407)"
91451691,,улица Кирова,residential,,False,False,134.257,"LINESTRING (55.3338991 57.9451099, 55.3354154 57.9442098)"
91454219,,Красноармейская улица,residential,,False,False,105.186,"LINESTRING (55.3338991 57.9451099, 55.3353514 57.9456583)"
91454219,,Красноармейская улица,residential,,False,True,50.606,"LINESTRING (55.3338991 57.9451099, 55.3332265 57.9448276)"
91451691,,улица Кирова,residential,,False,True,204.307,"LINESTRING (55.3375218 57.9427517, 55.3354154 57.9442098)"
91290422,,улица Некрасова,tertiary,,False,True,107.54,"LINESTRING (55.3354154 57.9442098, 55.3339447 57.9436388)"
91451691,,улица Кирова,residential,,False,False,204.307,"LINESTRING (55.3354154 57.9442098, 55.3375218 57.9427517)"
91451691,,улица Кирова,residential,,False,True,134.257,"LINESTRING (55.3354154 57.9442098, 55.3338991 57.9451099)"
91290422,,улица Некрасова,tertiary,,False,False,104.544,"LINESTRING (55.3354154 57.9442098, 55.336009 57.9444191, 55.3368411 57.9447666)"
91451690,,улица Гагарина,residential,,False,True,244.475,"LINESTRING (55.3295872 57.9465135, 55.3263703 57.9478989)"
203843307,,Торговая улица,tertiary,60,False,True,115.41,"LINESTRING (55.3295872 57.9465135, 55.3307667 57.9473414)"
91451690,,улица Гагарина,residential,,False,False,286.18,"LINESTRING (55.3295872 57.9465135, 55.3317628 57.9456545, 55.3332265 57.9448276)"
203843307,,Торговая улица,tertiary,60,False,False,106.167,"LINESTRING (55.3295872 57.9465135, 55.3294422 57.9463962, 55.3286003 57.9457152)"
"[91451899, 91454221]",,улица Демьяна Бедного,residential,,False,"[False, True]",252.69000000000003,"LINESTRING (55.3286003 57.9457152, 55.3300596 57.9450125, 55.3298906 57.944772, 55.3284345 57.9441857)"
91451899,,улица Демьяна Бедного,residential,,False,True,252.38,"LINESTRING (55.3286003 57.9457152, 55.3270376 57.9464936, 55.3254344 57.9472407)"
203843307,,Торговая улица,tertiary,60,False,False,111.513,"LINESTRING (55.3286003 57.9457152, 55.3282696 57.9454755, 55.3272578 57.9450175)"
