osmid,name,highway,oneway,reversed,length,geometry,lanes,width
"[282122112, 436861385, 1261419051]",улица Киселёва,unclassified,False,False,143.147,"LINESTRING (46.0314661 51.5335966, 46.0315915 51.533569, 46.0317145 51.5335431, 46.0318337 51.5335179, 46.031945 51.533517, 46.0320346 51.5335664, 46.0324741 51.5343322, 46.032522 51.5344157)",,
474131473,улица Радищева,tertiary,False,True,156.858,"LINESTRING (46.0362657 51.5321069, 46.0363214 51.5322032, 46.0366743 51.5327948, 46.0367421 51.5329087, 46.0369854 51.5333373, 46.0370397 51.5334328)",3,
1117248798,улица Радищева,tertiary,True,False,66.132,"LINESTRING (46.0362657 51.5321069, 46.0359852 51.5316453, 46.0359276 51.5315506)",3,
30807041,улица Сакко и Ванцетти,residential,False,False,370.049,"LINESTRING (46.033883 51.5281864, 46.0337735 51.5282131, 46.0313195 51.5287711, 46.0290241 51.5292997, 46.028867 51.5293422)",,
1106956589,улица Радищева,tertiary,True,False,66.95,"LINESTRING (46.033883 51.5281864, 46.0336118 51.52774, 46.0335408 51.5276232)",3,
30812077,Большая Казачья улица,residential,True,False,368.71,"LINESTRING (46.0359276 51.5315506, 46.035781 51.5315852, 46.0355314 51.5316437, 46.0346105 51.5318595, 46.0334828 51.5321203, 46.0310661 51.5326626, 46.0309233 51.5326922)",,
"[1106956589, 30926007]",улица Радищева,tertiary,True,False,399.927,"LINESTRING (46.0359276 51.5315506, 46.0357171 51.5312043, 46.0355888 51.5309932, 46.0351053 51.5301976, 46.0350917 51.5301752, 46.0349402 51.529926, 46.034901 51.5298613, 46.0347204 51.5295642, 46.0346636 51.5294737, 46.0343709 51.5289892, 46.033883 51.5281864)",3,
331739192,улица Некрасова,residential,False,True,112.066,"LINESTRING (46.0416748 51.5309551, 46.0411605 51.5299994)",2,
608228490,Первомайская улица,residential,True,False,178.805,"LINESTRING (46.0416748 51.5309551, 46.0392201 51.531459)",2,
331739195,улица Некрасова,residential,False,False,147.87800000000001,"LINESTRING (46.0406323 51.5264659, 46.0405818 51.5265481, 46.0399729 51.5274437, 46.0398428 51.5276152, 46.0397971 51.5276898)",,
608228501,улица Мичурина,primary,True,False,199.124,"LINESTRING (46.0406323 51.5264659, 46.038039 51.5258455, 46.0379431 51.5258281)",2,
175097657,проезд Котовского,residential,False,True,140.629,"LINESTRING (46.0397971 51.5276898, 46.0397248 51.5276845, 46.0396303 51.5276885, 46.0394236 51.5277361, 46.0393211 51.5277599, 46.0387945 51.5278753, 46.0383477 51.5279771, 46.0382663 51.5279959, 46.0378775 51.5280854)",2,6
"[331739194, 331739191]",улица Некрасова,residential,False,False,274.262,"LINESTRING (46.0397971 51.5276898, 46.0398562 51.5277254, 46.0398938 51.5277654, 46.040443 51.528715, 46.0405947 51.5289774, 46.0410252 51.529755, 46.0411605 51.5299994)",2,
331739195,улица Некрасова,residential,False,True,147.87800000000001,"LINESTRING (46.0397971 51.5276898, 46.0398428 51.5276152, 46.0399729 51.5274437, 46.0405818 51.5265481, 46.0406323 51.5264659)",,
331739146,Соборная улица,residential,True,False,158.39000000000001,"LINESTRING (46.0392201 51.531459, 46.0397674 51.5324237, 46.0399521 51.5327124, 46.0400071 51.5327964)",,
608228490,Первомайская улица,residential,True,False,216.68999999999997,"LINESTRING (46.0392201 51.531459, 46.0378444 51.5317575, 46.0376347 51.5318031, 46.037393 51.5318567, 46.0369079 51.531963, 46.0364034 51.5320756, 46.0362657 51.5321069)",2,
331739144,Соборная улица,residential,True,False,150.044,"LINESTRING (46.0400071 51.5327964, 46.0400524 51.5328831, 46.0403119 51.5333425, 46.0404612 51.5335984, 46.0406983 51.5340048, 46.0407349 51.5340675)",,
175097657,проезд Котовского,residential,False,False,140.629,"LINESTRING (46.0378775 51.5280854, 46.0382663 51.5279959, 46.0383477 51.5279771, 46.0387945 51.5278753, 46.0393211 51.5277599, 46.0394236 51.5277361, 46.0396303 51.5276885, 46.0397248 51.5276845, 46.0397971 51.5276898)",2,6
331739142,Соборная улица,residential,False,False,134.948,"LINESTRING (46.0378775 51.5280854, 46.0379309 51.5281753, 46.0385749 51.5292188)",,
988686632,Соборная улица,residential,False,True,126.222,"LINESTRING (46.0378775 51.5280854, 46.0374727 51.5274453, 46.0372094 51.5270291)",,
436849618,улица Радищева,tertiary,False,False,130.837,"LINESTRING (46.0335408 51.5276232, 46.0334789 51.5275255, 46.0334218 51.5274236, 46.0328713 51.5265228)",,
"[1116089658, 30858531]",Соборная площадь,residential,False,False,206.394,"LINESTRING (46.0335408 51.5276232, 46.0338081 51.5275544, 46.0342961 51.5274358, 46.0344964 51.5273872, 46.0348311 51.5273063, 46.0349182 51.5272853, 46.0363192 51.526947)",,
331739107,Бабушкин взвоз,residential,False,False,103.699,"LINESTRING (46.0379431 51.5258281, 46.0379036 51.5258906, 46.0377861 51.5260961, 46.037433 51.526705)",,
608228501,улица Мичурина,primary,True,False,133.68099999999998,"LINESTRING (46.0379431 51.5258281, 46.0372759 51.5257112, 46.0360725 51.5255273)",2,
102267473,Бабушкин взвоз,residential,True,False,39.458,"LINESTRING (46.037433 51.526705, 46.0372524 51.5269208, 46.0372094 51.5270291)",,
331739107,Бабушкин взвоз,residential,False,True,103.699,"LINESTRING (46.037433 51.526705, 46.0377861 51.5260961, 46.0379036 51.5258906, 46.0379431 51.5258281)",,
30858581,Советская улица,residential,False,False,175.303,"LINESTRING (46.0328713 51.5265228, 46.0327313 51.5265546, 46.0304904 51.5270625)",4,
436849618,улица Радищева,tertiary,False,True,130.837,"LINESTRING (46.0328713 51.5265228, 46.0334218 51.5274236, 46.0334789 51.5275255, 46.0335408 51.5276232)",,
299401460,улица Максима Горького,residential,True,False,107.352,"LINESTRING (46.0309233 51.5326922, 46.0309701 51.5327654, 46.0314086 51.533507, 46.0314661 51.5335966)",3,
30807041,улица Сакко и Ванцетти,residential,False,True,370.04900000000004,"LINESTRING (46.028867 51.5293422, 46.0290241 51.5292997, 46.0313195 51.5287711, 46.0337735 51.5282131, 46.033883 51.5281864)",,
299401460,улица Максима Горького,residential,True,False,96.893,"LINESTRING (46.028867 51.5293422, 46.0289155 51.5294241, 46.0291843 51.5298556, 46.029371 51.5301552)",3,
159975741,Советская улица,residential,False,True,196.993,"LINESTRING (46.0278136 51.5276668, 46.0279571 51.5276344, 46.0286466 51.5274789, 46.0292918 51.5273334, 46.0295879 51.5272666, 46.0300049 51.5271725, 46.0301425 51.5271415, 46.0303304 51.5270991, 46.0303743 51.5270892, 46.0304068 51.5270819, 46.0304904 51.5270625)",4,
299401460,улица Максима Горького,residential,True,False,97.857,"LINESTRING (46.0278136 51.5276668, 46.0278882 51.5277863, 46.0283325 51.5284855)",3,
106878944,Московская улица,secondary,True,False,217.12400000000005,"LINESTRING (46.0370397 51.5334328, 46.037207 51.5333953, 46.0388175 51.5330585, 46.0388605 51.5330495, 46.0394586 51.5329152, 46.0398845 51.5328209, 46.0400071 51.5327964)",4,
474131473,улица Радищева,tertiary,False,False,156.858,"LINESTRING (46.0370397 51.5334328, 46.0369854 51.5333373, 46.0367421 51.5329087, 46.0366743 51.5327948, 46.0363214 51.5322032, 46.0362657 51.5321069)",3,
30858581,Советская улица,residential,False,True,175.303,"LINESTRING (46.0304904 51.5270625, 46.0327313 51.5265546, 46.0328713 51.5265228)",4,
159975741,Советская улица,residential,False,False,196.993,"LINESTRING (46.0304904 51.5270625, 46.0304068 51.5270819, 46.0303743 51.5270892, 46.0303304 51.5270991, 46.0301425 51.5271415, 46.0300049 51.5271725, 46.0295879 51.5272666, 46.0292918 51.5273334, 46.0286466 51.5274789, 46.0279571 51.5276344, 46.0278136 51.5276668)",4,
30922222,улица Григорьева,residential,False,True,182.711,"LINESTRING (46.0411605 51.5299994, 46.038669 51.5305449)",2,
331739192,улица Некрасова,residential,False,False,112.066,"LINESTRING (46.0411605 51.5299994, 46.0416748 51.5309551)",2,
"[331739194, 331739191]",улица Некрасова,residential,False,True,274.262,"LINESTRING (46.0411605 51.5299994, 46.0410252 51.529755, 46.0405947 51.5289774, 46.040443 51.528715, 46.0398938 51.5277654, 46.0398562 51.5277254, 46.0397971 51.5276898)",2,
30922222,улица Григорьева,residential,False,False,182.711,"LINESTRING (46.038669 51.5305449, 46.0411605 51.5299994)",2,
331739139,Соборная улица,unclassified,True,False,108.557,"LINESTRING (46.038669 51.5305449, 46.0392201 51.531459)",2,
678357208,Соборная улица,unclassified,False,True,99.883,"LINESTRING (46.038669 51.5305449, 46.038149 51.5297069)",,
299401460,улица Максима Горького,residential,True,False,101.58,"LINESTRING (46.0303956 51.5318397, 46.0308681 51.532606, 46.0309233 51.5326922)",3,
299401460,улица Максима Горького,residential,True,False,200.26800000000003,"LINESTRING (46.029371 51.5301552, 46.029678 51.5306583, 46.029874 51.5309796, 46.0303956 51.5318397)",3,
30858531,Соборная площадь,residential,False,False,38.046,"LINESTRING (46.0363192 51.526947, 46.0366966 51.5268568, 46.0368393 51.5268386)",,
