osmid,name,highway,oneway,reversed,length,geometry,bridge
"[37076939, 160110335]",улица Фрунзе,residential,False,False,331.099,"LINESTRING (38.5851001 56.3737472, 38.587287 56.3721367, 38.5865877 56.3718449, 38.5862288 56.3716592, 38.5860313 56.371485)",
37076942,улица Суворова,unclassified,False,False,672.824,"LINESTRING (38.5851001 56.3737472, 38.5867083 56.3744215, 38.5870254 56.3745657, 38.5871682 56.3746506, 38.5872921 56.3747844, 38.5874265 56.3749658, 38.5874896 56.3750472, 38.5875883 56.3752484, 38.587603 56.3753251, 38.5874605 56.3755414, 38.5869831 56.3758867, 38.5866608 56.3761198, 38.5861978 56.3764903, 38.5861201 56.3765985, 38.5860886 56.3766915, 38.5860739 56.3767985, 38.5861133 56.3769738, 38.5863241 56.3774902, 38.5864875 56.3777731, 38.5866033 56.3779244, 38.5867667 56.3780444, 38.5869434 56.3781437, 38.5871714 56.3782281, 38.5874616 56.3782502, 38.5881315 56.3782385)",
37190042,улица Лермонтова,tertiary,False,False,107.547,"LINESTRING (38.5851001 56.3737472, 38.5845073 56.3734617, 38.5837777 56.3731154)",
222967969,улица Островского,tertiary,False,False,58.624,"LINESTRING (38.5837777 56.3731154, 38.5843038 56.372676)",
"[37181328, 37190042, 37181327]",улица Лермонтова,tertiary,False,False,354.159,"LINESTRING (38.5837777 56.3731154, 38.5830187 56.3727259, 38.5825428 56.372495, 38.5823363 56.3724344, 38.5821596 56.3724072, 38.5819993 56.3723992, 38.5814554 56.3724378, 38.5811642 56.3724589, 38.5808848 56.3724523, 38.5803376 56.3724027, 38.5800617 56.3723582, 38.579843 56.3722989, 38.5796211 56.3721965, 38.5794965 56.3721264, 38.5789126 56.371798)",yes
37190042,улица Лермонтова,tertiary,False,True,107.547,"LINESTRING (38.5837777 56.3731154, 38.5845073 56.3734617, 38.5851001 56.3737472)",
"[37181328, 37190042, 37181327]",улица Лермонтова,tertiary,False,True,354.159,"LINESTRING (38.5789126 56.371798, 38.5794965 56.3721264, 38.5796211 56.3721965, 38.579843 56.3722989, 38.5800617 56.3723582, 38.5803376 56.3724027, 38.5808848 56.3724523, 38.5811642 56.3724589, 38.5814554 56.3724378, 38.5819993 56.3723992, 38.5821596 56.3724072, 38.5823363 56.3724344, 38.5825428 56.372495, 38.5830187 56.3727259, 38.5837777 56.3731154)",yes
37076942,улица Суворова,unclassified,False,True,672.824,"LINESTRING (38.5881315 56.3782385, 38.5874616 56.3782502, 38.5871714 56.3782281, 38.5869434 56.3781437, 38.5867667 56.3780444, 38.5866033 56.3779244, 38.5864875 56.3777731, 38.5863241 56.3774902, 38.5861133 56.3769738, 38.5860739 56.3767985, 38.5860886 56.3766915, 38.5861201 56.3765985, 38.5861978 56.3764903, 38.5866608 56.3761198, 38.5869831 56.3758867, 38.5874605 56.3755414, 38.587603 56.3753251, 38.5875883 56.3752484, 38.5874896 56.3750472, 38.5874265 56.3749658, 38.5872921 56.3747844, 38.5871682 56.3746506, 38.5870254 56.3745657, 38.5867083 56.3744215, 38.5851001 56.3737472)",
"[37076939, 160110335]",улица Фрунзе,residential,False,True,331.099,"LINESTRING (38.5860313 56.371485, 38.5862288 56.3716592, 38.5865877 56.3718449, 38.587287 56.3721367, 38.5851001 56.3737472)",
704480141,улица Островского,tertiary,False,False,287.665,"LINESTRING (38.5860313 56.371485, 38.5861233 56.3714078, 38.5862063 56.3713006, 38.5862813 56.3711366, 38.5863642 56.3710316, 38.5864945 56.3709474, 38.58807 56.3704335, 38.588225 56.3703741, 38.5883878 56.3702783, 38.5885031 56.370201, 38.5886116 56.370095, 38.5886618 56.3699906, 38.5886662 56.3698858, 38.5886434 56.3697629, 38.5885695 56.3695916)",
71520833,,tertiary,False,False,405.352,"LINESTRING (38.5939439 56.3712635, 38.5938817 56.3712006, 38.593789 56.3710786, 38.5937155 56.3709587, 38.5935714 56.3707921, 38.5932269 56.3705282, 38.5929006 56.3703661, 38.5924654 56.3702025, 38.5920148 56.3700849, 38.5914372 56.3700347, 38.5909943 56.3700232, 38.5902121 56.3699759, 38.5898365 56.369907, 38.5896403 56.3698635, 38.5893945 56.369809, 38.5892515 56.3697772, 38.58913 56.3697503, 38.5885695 56.3695916)",
71520833,,tertiary,False,True,405.3519999999999,"LINESTRING (38.5885695 56.3695916, 38.58913 56.3697503, 38.5892515 56.3697772, 38.5893945 56.369809, 38.5896403 56.3698635, 38.5898365 56.369907, 38.5902121 56.3699759, 38.5909943 56.3700232, 38.5914372 56.3700347, 38.5920148 56.3700849, 38.5924654 56.3702025, 38.5929006 56.3703661, 38.5932269 56.3705282, 38.5935714 56.3707921, 38.5937155 56.3709587, 38.593789 56.3710786, 38.5938817 56.3712006, 38.5939439 56.3712635)",
704480141,улица Островского,tertiary,False,True,287.665,"LINESTRING (38.5885695 56.3695916, 38.5886434 56.3697629, 38.5886662 56.3698858, 38.5886618 56.3699906, 38.5886116 56.370095, 38.5885031 56.370201, 38.5883878 56.3702783, 38.588225 56.3703741, 38.58807 56.3704335, 38.5864945 56.3709474, 38.5863642 56.3710316, 38.5862813 56.3711366, 38.5862063 56.3713006, 38.5861233 56.3714078, 38.5860313 56.371485)",
222967969,улица Островского,tertiary,False,True,58.624,"LINESTRING (38.5843038 56.372676, 38.5837777 56.3731154)",
704480140,улица Островского,tertiary,True,False,171.777,"LINESTRING (38.5843038 56.372676, 38.5853491 56.3718029, 38.5855886 56.3716578, 38.5859264 56.3715371, 38.5860313 56.371485)",
