osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
323345634,2,41К-176,Павловско-Лисинское шоссе,secondary,RU:urban,False,False,14.557,"LINESTRING (30.5477899 59.5727243, 30.5477671 59.5728547)",
32845383,,41К-852,,residential,,False,False,670.8239999999998,"LINESTRING (30.5477899 59.5727243, 30.546855 59.5726886, 30.5458197 59.572654, 30.5435306 59.5725767, 30.5433333 59.5725514, 30.5432233 59.5725174, 30.5431563 59.5724563, 30.5431295 59.5723626, 30.5431321 59.5720855, 30.5432074 59.5715642, 30.5432126 59.5710381, 30.5432772 59.5700341, 30.5432354 59.5699146, 30.5431479 59.5698011, 30.5430369 59.5697115, 30.5428802 59.5696433, 30.5426694 59.5695866, 30.5424097 59.5695535, 30.5414331 59.5695031)",
323345634,2,41К-176,Павловско-Лисинское шоссе,secondary,RU:urban,False,True,116.08900000000001,"LINESTRING (30.5477899 59.5727243, 30.547833 59.5724054, 30.5479145 59.5717813, 30.5479234 59.5716825)",
112602147,,,Ленинградская улица,residential,,False,False,63.622,"LINESTRING (30.5472398 59.5669346, 30.5476605 59.5664036)",
112602147,,,Ленинградская улица,residential,,False,True,7.705,"LINESTRING (30.5472398 59.5669346, 30.5471764 59.566996)",
112602177,,,,residential,,False,False,76.48,"LINESTRING (30.5472398 59.5669346, 30.5484965 59.5671951)",
"[653681753, 112602090, 653681754]",,,,residential,,False,False,89.616,"LINESTRING (30.5451352 59.5687172, 30.5444129 59.5687429, 30.5441863 59.568747, 30.5435473 59.5687681)",yes
112602090,,,,residential,,False,True,58.80200000000001,"LINESTRING (30.5451352 59.5687172, 30.5457983 59.5686893, 30.5461739 59.5686649)",
112602112,,,Пионерская улица,residential,,False,False,136.576,"LINESTRING (30.5451352 59.5687172, 30.5450582 59.5686328, 30.5449045 59.568073, 30.5447525 59.5676627, 30.5446918 59.5675132)",
112602112,,,Пионерская улица,residential,,False,True,216.98899999999998,"LINESTRING (30.5451352 59.5687172, 30.5453905 59.5689229, 30.5457044 59.5691566, 30.545927 59.5692557, 30.5461562 59.5693433, 30.5465117 59.5695098, 30.5467665 59.5695954, 30.5469343 59.5696273, 30.5470356 59.5696346, 30.5481913 59.5696854)",
112602089,,,Новослисинская улица,residential,,False,False,161.172,"LINESTRING (30.5530365 59.5673922, 30.5503578 59.5668824)",
112602227,,,Погинская улица,residential,,False,True,273.693,"LINESTRING (30.5530365 59.5673922, 30.5538018 59.5664434, 30.5511169 59.5659811)",
"[697594442, 913583475]",,,Комсомольский переулок,residential,,False,False,135.1,"LINESTRING (30.5530365 59.5673922, 30.5526409 59.567868, 30.552059 59.5685015)",
112602227,,,Погинская улица,residential,,False,True,162.038,"LINESTRING (30.5511169 59.5659811, 30.5484202 59.5654736)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,False,108.959,"LINESTRING (30.5511169 59.5659811, 30.5503578 59.5668824)",
112602227,,,Погинская улица,residential,,False,False,273.693,"LINESTRING (30.5511169 59.5659811, 30.5538018 59.5664434, 30.5530365 59.5673922)",
112602125,,,Пионерская улица,residential,,False,False,37.196,"LINESTRING (30.5465604 59.5669005, 30.5466834 59.5669435, 30.5468443 59.5669801, 30.5470213 59.5669951, 30.5471764 59.566996)",
112602125,,,Пионерская улица,residential,,False,True,125.49000000000001,"LINESTRING (30.5465604 59.5669005, 30.544771 59.5674747, 30.5446918 59.5675132)",
"[112602082, 172945019]",,,,residential,,False,False,208.597,"LINESTRING (30.5465604 59.5669005, 30.5463669 59.5668062, 30.545883 59.5666114, 30.5450423 59.5663924, 30.5448835 59.5665609, 30.5444985 59.5668859, 30.5440622 59.5671978)",
112602089,,,Новослисинская улица,residential,,False,False,160.982,"LINESTRING (30.5503578 59.5668824, 30.5476605 59.5664036)",
112602089,,,Новослисинская улица,residential,,False,True,161.172,"LINESTRING (30.5503578 59.5668824, 30.5530365 59.5673922)",
171922247,2,41К-176,Павловское шоссе,secondary,RU:urban,False,True,108.959,"LINESTRING (30.5503578 59.5668824, 30.5511169 59.5659811)",
