osmid,oneway,highway,reversed,length,geometry,bridge
47373665,True,tertiary,False,72.506,"LINESTRING (40.2801292 21.3642073, 40.2804868 21.3647679)",
96755113,True,tertiary,False,110.791,"LINESTRING (40.2801292 21.3642073, 40.2803635 21.3644779, 40.2805464 21.3645595, 40.2806987 21.3645745, 40.2810276 21.3644918)",
47384226,True,trunk_link,False,17.889,"LINESTRING (40.2803328 21.3648408, 40.2804868 21.3647679)",
48007786,True,tertiary,False,69.597,"LINESTRING (40.2803328 21.3648408, 40.2800166 21.3642885)",
47384226,True,trunk_link,False,63.865,"LINESTRING (40.2804868 21.3647679, 40.2810276 21.3644918)",
"[47373665, 48024001, 48023997]",True,tertiary,False,143.686,"LINESTRING (40.2804868 21.3647679, 40.2805285 21.3648262, 40.2809851 21.3656037, 40.2811599 21.3658976)",yes
48007030,True,motorway_link,False,17.097,"LINESTRING (40.2811599 21.3658976, 40.2810212 21.365981)",
48024001,True,tertiary,False,37.997,"LINESTRING (40.2811599 21.3658976, 40.2813425 21.366194)",
"[48007786, 47373667, 48023999]",True,tertiary,False,145.461,"LINESTRING (40.2810212 21.365981, 40.2808494 21.3656838, 40.2803694 21.3649015, 40.2803328 21.3648408)",yes
48007030,True,motorway_link,False,64.836,"LINESTRING (40.2810212 21.365981, 40.28086 21.36604, 40.28042 21.36614)",
96746773,False,residential,False,29.466,"LINESTRING (40.28436 21.3684269, 40.2842285 21.3686619)",
96746773,False,residential,True,103.788,"LINESTRING (40.28436 21.3684269, 40.2847516 21.3675677)",
758647988,False,residential,True,77.028,"LINESTRING (40.28436 21.3684269, 40.2836613 21.3681892)",
758647988,False,residential,False,160.28199999999998,"LINESTRING (40.28436 21.3684269, 40.2848724 21.3686056, 40.2851298 21.3686741, 40.2853392 21.3686556, 40.2858316 21.3684924)",
96746773,False,residential,False,103.788,"LINESTRING (40.2847516 21.3675677, 40.28436 21.3684269)",
96746773,False,residential,True,162.02300000000002,"LINESTRING (40.2847516 21.3675677, 40.2848858 21.3670881, 40.2848911 21.3665835, 40.2848482 21.3663138, 40.2847195 21.3661739)",
758647989,False,residential,False,142.941,"LINESTRING (40.2847516 21.3675677, 40.2852996 21.3676596, 40.2858769 21.3677096, 40.2861142 21.3676576)",
758647989,False,residential,True,113.549,"LINESTRING (40.2847516 21.3675677, 40.2843772 21.3674883, 40.2839358 21.3673513, 40.2837999 21.3671589)",
96746773,False,residential,False,162.02300000000002,"LINESTRING (40.2847195 21.3661739, 40.2848482 21.3663138, 40.2848911 21.3665835, 40.2848858 21.3670881, 40.2847516 21.3675677)",
96746773,False,residential,True,363.02299999999997,"LINESTRING (40.2847195 21.3661739, 40.2844459 21.366069, 40.2839363 21.3659391, 40.2835715 21.3657692, 40.2834374 21.3658242, 40.2832013 21.366009, 40.2828795 21.3661839, 40.2823859 21.3664586, 40.2820077 21.3665706, 40.2818225 21.3665706, 40.2816816 21.3665585, 40.2815381 21.3665269)",
96772049,False,residential,False,68.73400000000001,"LINESTRING (40.2847195 21.3661739, 40.2850037 21.3661639, 40.2852666 21.3660989, 40.2853487 21.3660345)",
"[48024001, 47373667]",True,tertiary,False,58.375,"LINESTRING (40.2815381 21.3665269, 40.2814103 21.366488, 40.2813093 21.3664524, 40.2811509 21.3661921)",
96746773,False,residential,False,363.023,"LINESTRING (40.2815381 21.3665269, 40.2816816 21.3665585, 40.2818225 21.3665706, 40.2820077 21.3665706, 40.2823859 21.3664586, 40.2828795 21.3661839, 40.2832013 21.366009, 40.2834374 21.3658242, 40.2835715 21.3657692, 40.2839363 21.3659391, 40.2844459 21.366069, 40.2847195 21.3661739)",
48024001,True,tertiary,False,42.24,"LINESTRING (40.2813425 21.366194, 40.281452 21.3663981, 40.2815381 21.3665269)",
48007030,True,motorway_link,False,37.988,"LINESTRING (40.2814781 21.3657276, 40.2811599 21.3658976)",
96755101,True,tertiary,False,56.44499999999999,"LINESTRING (40.2814781 21.3657276, 40.2813555 21.3658782, 40.2813268 21.3660458, 40.2813425 21.366194)",
47373667,True,tertiary,False,27.044,"LINESTRING (40.2811509 21.3661921, 40.2810212 21.365981)",
96755097,True,tertiary,False,77.337,"LINESTRING (40.2811509 21.3661921, 40.2809562 21.3661204, 40.280771 21.3661137, 40.28042 21.36614)",
47384215,True,trunk_link,False,48.092,"LINESTRING (40.280007 21.3651478, 40.2802154 21.3649331, 40.2803328 21.3648408)",
96755073,True,tertiary,False,102.17099999999999,"LINESTRING (40.280007 21.3651478, 40.2801528 21.3648942, 40.2801737 21.3647509, 40.2801685 21.3646944, 40.2800166 21.3642885)",
96772038,False,residential,False,48.415,"LINESTRING (40.2845799 21.3726831, 40.2844704 21.3731064)",
96772038,False,residential,True,197.46599999999998,"LINESTRING (40.2845799 21.3726831, 40.2848482 21.3723135, 40.2852666 21.3715941, 40.2853578 21.3711395, 40.2853562 21.3710904)",
758647991,False,residential,True,131.844,"LINESTRING (40.2845799 21.3726831, 40.2844782 21.3726526, 40.2844476 21.3725671, 40.2847052 21.3721633, 40.284468 21.3719922, 40.2842767 21.3721633)",
96772038,False,residential,False,121.357,"LINESTRING (40.2853487 21.3660345, 40.2856153 21.3663037, 40.2861946 21.3667883)",
96772049,False,residential,False,62.464,"LINESTRING (40.2853487 21.3660345, 40.2854704 21.365939, 40.2857279 21.3656693, 40.285778 21.3656449)",
