osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
8041621,2,Mentz Avenue,unclassified,False,False,142.822,,"LINESTRING (28.2856786 -24.8834585, 28.2863586 -24.8823319)"
1012076565,2,Moffat Road,residential,False,False,293.777,,"LINESTRING (28.2856786 -24.8834585, 28.288581 -24.8832402)"
1012076565,2,Moffat Road,residential,False,False,10.162,,"LINESTRING (28.288581 -24.8832402, 28.2886814 -24.8832327)"
1012076565,2,Moffat Road,residential,False,True,293.777,,"LINESTRING (28.288581 -24.8832402, 28.2856786 -24.8834585)"
436020344,2,Grobler Avenue,secondary,True,False,141.349,D180,"LINESTRING (28.288581 -24.8832402, 28.2883861 -24.8830136, 28.287719 -24.882238)"
8041622,2,Kretchmar Avenue,unclassified,False,False,3.767,,"LINESTRING (28.2917333 -24.8778504, 28.2917095 -24.8778243)"
749773970,,Botha Street,residential,True,False,6.797,,"LINESTRING (28.2917333 -24.8778504, 28.2916661 -24.877846)"
8041622,2,Kretchmar Avenue,unclassified,False,True,132.212,,"LINESTRING (28.2917333 -24.8778504, 28.2924683 -24.8787194, 28.2925342 -24.8787915)"
636719083,2,Mentz Avenue,unclassified,False,False,137.71,,"LINESTRING (28.2889248 -24.8780527, 28.2895931 -24.8769728)"
636719083,2,Mentz Avenue,unclassified,False,True,131.226,,"LINESTRING (28.2889248 -24.8780527, 28.288312 -24.8790937)"
636971449,2,Botha Street,residential,False,True,141.549,,"LINESTRING (28.2889248 -24.8780527, 28.2903233 -24.8779487)"
636971449,2,Botha Street,residential,False,False,121.56800000000001,,"LINESTRING (28.2889248 -24.8780527, 28.2888461 -24.8780716, 28.2887985 -24.8780759, 28.2887133 -24.8780522, 28.2879401 -24.8776275, 28.287864 -24.8775977)"
125543863,2,Gilfillan Street,residential,False,False,183.701,,"LINESTRING (28.287864 -24.8775977, 28.2861388 -24.8781266)"
636971449,2,Botha Street,residential,False,True,121.56800000000001,,"LINESTRING (28.287864 -24.8775977, 28.2879401 -24.8776275, 28.2887133 -24.8780522, 28.2887985 -24.8780759, 28.2888461 -24.8780716, 28.2889248 -24.8780527)"
636719083,2,Mentz Avenue,unclassified,False,False,132.932,,"LINESTRING (28.2876296 -24.8802024, 28.2882734 -24.8791593)"
636719083,2,Mentz Avenue,unclassified,False,True,60.936,,"LINESTRING (28.2876296 -24.8802024, 28.2873328 -24.8806797)"
8041625,2,Reitz Street,residential,False,False,209.69799999999998,,"LINESTRING (28.2876296 -24.8802024, 28.2877081 -24.8801993, 28.2896997 -24.8800311)"
8041625,2,Reitz Street,residential,False,True,245.307,,"LINESTRING (28.2876296 -24.8802024, 28.2875424 -24.8801758, 28.2857657 -24.8792387, 28.2855214 -24.8791062)"
8041625,2,Reitz Street,residential,False,True,76.503,,"LINESTRING (28.2912581 -24.879924, 28.2905017 -24.8799739)"
636657160,2,Driver Street,residential,False,False,116.242,,"LINESTRING (28.2912581 -24.879924, 28.2913683 -24.8809646)"
8041625,2,Reitz Street,residential,False,False,213.771,,"LINESTRING (28.2912581 -24.879924, 28.2932442 -24.8797768, 28.2933703 -24.8797683)"
606289750,2,Grobler Avenue,secondary,True,False,6.186,D180,"LINESTRING (28.2870112 -24.8812802, 28.2870483 -24.8813245)"
636747448,1,Mentz Avenue,unclassified,True,False,8.784,,"LINESTRING (28.2870112 -24.8812802, 28.2869688 -24.8813492)"
"[636719081, 125543887]",,Robertson Road,residential,True,False,56.982,,"LINESTRING (28.2870112 -24.8812802, 28.287087 -24.8812413, 28.287113 -24.8812314, 28.2871422 -24.8812234, 28.2873474 -24.8812173, 28.2875602 -24.881236)"
8041627,2,Minnaar Avenue,residential,False,False,139.067,,"LINESTRING (28.2929047 -24.8829451, 28.2935607 -24.8818451)"
8041627,2,Minnaar Avenue,residential,False,True,53.858,,"LINESTRING (28.2929047 -24.8829451, 28.2926476 -24.8833696)"
1012076565,2,Moffat Road,residential,False,True,59.349000000000004,,"LINESTRING (28.2929047 -24.8829451, 28.2928335 -24.88295, 28.292318 -24.8829851)"
8041622,2,Kretchmar Avenue,unclassified,False,True,130.371,,"LINESTRING (28.2933703 -24.8797683, 28.2941623 -24.8806948)"
8041622,2,Kretchmar Avenue,unclassified,False,False,137.522,,"LINESTRING (28.2933703 -24.8797683, 28.2926695 -24.878956, 28.2925342 -24.8787915)"
8041625,2,Reitz Street,residential,False,True,213.771,,"LINESTRING (28.2933703 -24.8797683, 28.2932442 -24.8797768, 28.2912581 -24.879924)"
125543870,2,Ludorf Street,residential,False,False,82.076,,"LINESTRING (28.2906676 -24.8820563, 28.2914794 -24.8820065)"
125543870,2,Ludorf Street,residential,False,True,79.409,,"LINESTRING (28.2906676 -24.8820563, 28.2898822 -24.8821047)"
125543874,2,Hospitaal Street,residential,False,False,115.462,,"LINESTRING (28.2906676 -24.8820563, 28.2907664 -24.8830908)"
125543857,2,Stofberg Street,residential,False,True,215.638,,"LINESTRING (28.2925342 -24.8787915, 28.2904046 -24.8789597)"
8041622,2,Kretchmar Avenue,unclassified,False,False,132.212,,"LINESTRING (28.2925342 -24.8787915, 28.2924683 -24.8787194, 28.2917333 -24.8778504)"
8041622,2,Kretchmar Avenue,unclassified,False,True,137.522,,"LINESTRING (28.2925342 -24.8787915, 28.2926695 -24.878956, 28.2933703 -24.8797683)"
8041625,2,Reitz Street,residential,False,False,245.307,,"LINESTRING (28.2855214 -24.8791062, 28.2857657 -24.8792387, 28.2875424 -24.8801758, 28.2876296 -24.8802024)"
125543891,2,De Beer Street,residential,False,False,125.477,,"LINESTRING (28.2855214 -24.8791062, 28.2855593 -24.8790429, 28.2861388 -24.8781266)"
125543863,2,Gilfillan Street,residential,False,True,183.701,,"LINESTRING (28.2861388 -24.8781266, 28.287864 -24.8775977)"
125543891,2,De Beer Street,residential,False,True,125.477,,"LINESTRING (28.2861388 -24.8781266, 28.2855593 -24.8790429, 28.2855214 -24.8791062)"
750061554,2,Stofberg Street,residential,False,False,244.17399999999998,,"LINESTRING (28.2861388 -24.8781266, 28.2881815 -24.8791312, 28.2882734 -24.8791593)"
125543849,2,Van Staden Street,residential,False,True,110.034,,"LINESTRING (28.2898822 -24.8821047, 28.2898086 -24.8811174)"
125543870,2,Ludorf Street,residential,False,False,79.409,,"LINESTRING (28.2898822 -24.8821047, 28.2906676 -24.8820563)"
125543870,2,Ludorf Street,residential,False,True,208.82799999999997,,"LINESTRING (28.2898822 -24.8821047, 28.287917 -24.8822251, 28.2878167 -24.8822312)"
8041627,2,Minnaar Avenue,residential,False,False,53.858,,"LINESTRING (28.2926476 -24.8833696, 28.2929047 -24.8829451)"
8041627,2,Minnaar Avenue,residential,False,True,86.958,,"LINESTRING (28.2926476 -24.8833696, 28.2922325 -24.884055)"
125543895,2,Pretoria Way,residential,False,False,86.199,,"LINESTRING (28.2926476 -24.8833696, 28.2931721 -24.8839816)"
125543895,2,Pretoria Way,residential,False,True,54.16,,"LINESTRING (28.2926476 -24.8833696, 28.292318 -24.8829851)"
