osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,29.026,"LINESTRING (80.7359583 7.2999614, 80.7357936 7.2997578)",
369643220,,,Victoria Golf Club Road,tertiary,30,False,False,25.149,"LINESTRING (80.7359583 7.2999614, 80.7359735 7.2998809, 80.736009 7.2998282, 80.7360813 7.2997908)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,60.987,"LINESTRING (80.7346896 7.2991841, 80.7352082 7.2993744)",
224623700,,B256,Madawala-Rajawella Road,primary,50,False,True,85.60300000000001,"LINESTRING (80.7346896 7.2991841, 80.7344042 7.2991808, 80.7342364 7.2992102, 80.7339353 7.2993186)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,233.242,"LINESTRING (80.7346896 7.2991841, 80.7345694 7.2991028, 80.7334995 7.298724, 80.7333303 7.2986468, 80.7332578 7.2985775, 80.733145 7.2980473)",
1051043759,,,Victoria Golf Club Road,tertiary,30,False,False,31.943,"LINESTRING (80.7360813 7.2997908, 80.7357936 7.2997578)",
369643220,,,Victoria Golf Club Road,tertiary,30,False,True,25.149,"LINESTRING (80.7360813 7.2997908, 80.736009 7.2998282, 80.7359735 7.2998809, 80.7359583 7.2999614)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,False,60.987,"LINESTRING (80.7352082 7.2993744, 80.7346896 7.2991841)",
249638249,2,AA026,Kandy - Mahiyanganaya Road,trunk,70,False,True,27.2,"LINESTRING (80.7352082 7.2993744, 80.7354223 7.2994958)",
224713702,,,,tertiary,40,False,False,267.29299999999995,"LINESTRING (80.7352082 7.2993744, 80.7352397 7.2993302, 80.7352615 7.2991814, 80.735243 7.2990186, 80.735051 7.2986928, 80.7347503 7.2982917, 80.7346618 7.2981113, 80.7346052 7.2979053, 80.7345749 7.2976925, 80.7346708 7.2971719)",
224713701,,,,tertiary,40,True,False,13.413,"LINESTRING (80.7334307 7.2964359, 80.7333961 7.296442, 80.7333705 7.2964862, 80.7333825 7.2965189)",roundabout
224713703,,,,tertiary,40,False,True,175.47,"LINESTRING (80.7334307 7.2964359, 80.7334407 7.2963255, 80.7339469 7.2956135, 80.7343237 7.2951493)",
224713706,,,,tertiary,40,False,False,8.284,"LINESTRING (80.7369771 7.2943924, 80.736906 7.2944164)",
224713704,,,,tertiary,40,False,False,183.337,"LINESTRING (80.7369771 7.2943924, 80.7366528 7.294099, 80.7363977 7.2938939, 80.7362392 7.2937713, 80.7359975 7.2937047, 80.7356778 7.2937606, 80.7355784 7.2938245)",
224713706,,,,tertiary,40,False,True,105.579,"LINESTRING (80.7369771 7.2943924, 80.7372661 7.2944443, 80.7376335 7.2944495, 80.7379278 7.2944172)",
1209983960,,,,residential,,False,False,154.394,"LINESTRING (80.7355784 7.2938245, 80.7360039 7.2925017)",
224713704,,,,tertiary,40,False,False,196.355,"LINESTRING (80.7355784 7.2938245, 80.7349567 7.2946012, 80.7346188 7.2950402, 80.7345249 7.2951014, 80.7344176 7.2951306)",
224713704,,,,tertiary,40,False,True,183.33700000000002,"LINESTRING (80.7355784 7.2938245, 80.7356778 7.2937606, 80.7359975 7.2937047, 80.7362392 7.2937713, 80.7363977 7.2938939, 80.7366528 7.294099, 80.7369771 7.2943924)",
224713702,,,,tertiary,40,False,True,151.927,"LINESTRING (80.7334598 7.2965208, 80.7346708 7.2971719)",
224713701,,,,tertiary,40,True,False,11.565999999999999,"LINESTRING (80.7334598 7.2965208, 80.7334676 7.2964626, 80.7334307 7.2964359)",roundabout
224713703,,,,tertiary,40,False,False,156.19400000000002,"LINESTRING (80.7355253 7.2960006, 80.7351498 7.2956574, 80.7348199 7.295394, 80.7344176 7.2951306)",
224713703,,,,tertiary,40,False,True,160.821,"LINESTRING (80.7355253 7.2960006, 80.7349849 7.2967097, 80.7346708 7.2971719)",
224713706,,,,tertiary,40,False,True,233.26000000000002,"LINESTRING (80.7355253 7.2960006, 80.7358259 7.295636, 80.7364654 7.2948746, 80.7367518 7.2945387, 80.736906 7.2944164)",
224713702,,,,tertiary,40,False,False,151.927,"LINESTRING (80.7346708 7.2971719, 80.7334598 7.2965208)",
224713702,,,,tertiary,40,False,True,267.293,"LINESTRING (80.7346708 7.2971719, 80.7345749 7.2976925, 80.7346052 7.2979053, 80.7346618 7.2981113, 80.7347503 7.2982917, 80.735051 7.2986928, 80.735243 7.2990186, 80.7352615 7.2991814, 80.7352397 7.2993302, 80.7352082 7.2993744)",
224713703,,,,tertiary,40,False,False,160.821,"LINESTRING (80.7346708 7.2971719, 80.7349849 7.2967097, 80.7355253 7.2960006)",
224713703,,,,tertiary,40,False,False,10.563,"LINESTRING (80.7344176 7.2951306, 80.7343237 7.2951493)",
224713703,,,,tertiary,40,False,True,156.19400000000002,"LINESTRING (80.7344176 7.2951306, 80.7348199 7.295394, 80.7351498 7.2956574, 80.7355253 7.2960006)",
224713704,,,,tertiary,40,False,True,196.35500000000002,"LINESTRING (80.7344176 7.2951306, 80.7345249 7.2951014, 80.7346188 7.2950402, 80.7349567 7.2946012, 80.7355784 7.2938245)",
224713703,,,,tertiary,40,False,True,10.563,"LINESTRING (80.7343237 7.2951493, 80.7344176 7.2951306)",
224713703,,,,tertiary,40,False,False,175.46999999999997,"LINESTRING (80.7343237 7.2951493, 80.7339469 7.2956135, 80.7334407 7.2963255, 80.7334307 7.2964359)",
224718623,,,Aluthwatte Road,tertiary,30,False,True,144.943,"LINESTRING (80.7343237 7.2951493, 80.7343237 7.2946518, 80.7342889 7.294391, 80.7341226 7.2940132, 80.7341049 7.2938837)",
224713701,,,,tertiary,40,True,False,9.332,"LINESTRING (80.7333825 7.2965189, 80.733412 7.2965363, 80.7334598 7.2965208)",roundabout
224713705,,,,tertiary,40,False,True,181.035,"LINESTRING (80.7333825 7.2965189, 80.7331128 7.2967348, 80.7324153 7.2971513, 80.7321417 7.2973429, 80.7320181 7.2974195)",
