osmid,highway,oneway,reversed,length,geometry
28429786,tertiary,False,False,79.514,"LINESTRING (36.8818214 38.2187026, 36.8822718 38.219324)"
199204317,residential,False,False,22.739,"LINESTRING (36.882012 38.224948, 36.88215 38.2251214)"
1141593526,residential,False,False,509.185,"LINESTRING (36.882012 38.224948, 36.8819009 38.2250419, 36.8814674 38.2253304, 36.8813213 38.2254348, 36.8811513 38.2255, 36.8809495 38.2254383, 36.8807688 38.2253492, 36.8799489 38.2248439, 36.8795471 38.2245866, 36.8791454 38.2243478, 36.8790471 38.2242957, 36.8789141 38.2242299, 36.8781269 38.223785, 36.8777441 38.2236129, 36.8774324 38.2234387, 36.8773254 38.2233586)"
"[1141835564, 1141593526]",residential,False,True,520.718,"LINESTRING (36.882012 38.224948, 36.8819242 38.2247976, 36.8818599 38.22441, 36.8817489 38.2239546, 36.8814581 38.2233496, 36.881366 38.2230844, 36.8811822 38.2223528, 36.8811204 38.2217977, 36.8811001 38.2215697, 36.881047 38.2213527, 36.8810143 38.2211985, 36.8810101 38.2209237, 36.880983 38.2203664)"
199204317,residential,False,True,22.739,"LINESTRING (36.88215 38.2251214, 36.882012 38.224948)"
28429786,tertiary,False,True,32.143,"LINESTRING (36.8826439 38.2198775, 36.8824767 38.21962)"
725851327,unclassified,False,False,146.691,"LINESTRING (36.8826439 38.2198775, 36.8813266 38.2202555, 36.8810706 38.2203381)"
725851327,unclassified,False,True,10.841,"LINESTRING (36.8774067 38.2219811, 36.8775304 38.2219889)"
1141613409,residential,False,False,31.709,"LINESTRING (36.8774067 38.2219811, 36.8772432 38.2222357)"
1141613409,residential,False,True,55.620999999999995,"LINESTRING (36.8774067 38.2219811, 36.877363 38.2217396, 36.8773147 38.2215697, 36.8772671 38.2214965)"
1141593526,residential,False,True,44.942,"LINESTRING (36.8768134 38.223319, 36.8773254 38.2233586)"
1141593526,residential,False,False,85.503,"LINESTRING (36.8768134 38.223319, 36.8766212 38.2232606, 36.8763309 38.2231138, 36.8760096 38.2228923)"
1141703555,residential,False,False,290.171,"LINESTRING (36.8768134 38.223319, 36.8766816 38.2239966, 36.8761396 38.2252965, 36.8759573 38.225834)"
1141703555,residential,False,True,43.275999999999996,"LINESTRING (36.8768134 38.223319, 36.8768581 38.2231456, 36.8769568 38.222948)"
1141593526,residential,False,False,0.785,"LINESTRING (36.8760096 38.2228923, 36.8760058 38.2228859)"
1141593526,residential,False,True,85.503,"LINESTRING (36.8760096 38.2228923, 36.8763309 38.2231138, 36.8766212 38.2232606, 36.8768134 38.223319)"
1141613415,residential,False,True,84.553,"LINESTRING (36.8760096 38.2228923, 36.8764686 38.2228955, 36.8766463 38.2229504, 36.8768395 38.222975, 36.8769568 38.222948)"
1141613411,residential,False,True,14.679,"LINESTRING (36.8759567 38.2221044, 36.8757887 38.2221073)"
1141593526,residential,False,True,87.80099999999999,"LINESTRING (36.8759567 38.2221044, 36.8759559 38.2223059, 36.8759513 38.2226727, 36.8759604 38.2228095, 36.8760058 38.2228859)"
1141613411,residential,False,False,113.73400000000001,"LINESTRING (36.8759567 38.2221044, 36.8762541 38.2221062, 36.8764686 38.2221313, 36.8768245 38.2221853, 36.8771857 38.2222185, 36.8772432 38.2222357)"
1141593526,residential,False,False,44.942,"LINESTRING (36.8773254 38.2233586, 36.8768134 38.223319)"
1141593526,residential,False,True,509.185,"LINESTRING (36.8773254 38.2233586, 36.8774324 38.2234387, 36.8777441 38.2236129, 36.8781269 38.223785, 36.8789141 38.2242299, 36.8790471 38.2242957, 36.8791454 38.2243478, 36.8795471 38.2245866, 36.8799489 38.2248439, 36.8807688 38.2253492, 36.8809495 38.2254383, 36.8811513 38.2255, 36.8813213 38.2254348, 36.8814674 38.2253304, 36.8819009 38.2250419, 36.882012 38.224948)"
1141613414,residential,False,False,85.887,"LINESTRING (36.8773254 38.2233586, 36.8773696 38.2232564, 36.8773571 38.223036, 36.8773148 38.2228539, 36.877286 38.2227258, 36.8772489 38.2226005)"
"[1141613408, 1141833869]",residential,False,"[False, True]",199.62599999999998,"LINESTRING (36.8772671 38.2214965, 36.8774578 38.2209158, 36.8775823 38.2206417, 36.8777445 38.2200506, 36.877815 38.2197559)"
1141613409,residential,False,False,55.620999999999995,"LINESTRING (36.8772671 38.2214965, 36.8773147 38.2215697, 36.877363 38.2217396, 36.8774067 38.2219811)"
1141613410,residential,False,True,137.67000000000002,"LINESTRING (36.8772671 38.2214965, 36.8767625 38.2215344, 36.8764472 38.2216215, 36.8757565 38.2218185)"
1141613409,residential,False,True,31.709,"LINESTRING (36.8772432 38.2222357, 36.8774067 38.2219811)"
1141613411,residential,False,False,4.878,"LINESTRING (36.8772432 38.2222357, 36.8772927 38.222256)"
1141613411,residential,False,True,113.73399999999998,"LINESTRING (36.8772432 38.2222357, 36.8771857 38.2222185, 36.8768245 38.2221853, 36.8764686 38.2221313, 36.8762541 38.2221062, 36.8759567 38.2221044)"
1141613410,residential,False,False,101.293,"LINESTRING (36.8746063 38.2219081, 36.8749344 38.2218617, 36.8754709 38.2218322, 36.8755299 38.2218407, 36.8757565 38.2218185)"
1141613410,residential,False,True,48.61800000000001,"LINESTRING (36.8746063 38.2219081, 36.8744248 38.222005, 36.8742478 38.222102, 36.8741428 38.2221497)"
1141613424,residential,False,False,85.97399999999999,"LINESTRING (36.8746063 38.2219081, 36.8745884 38.2216454, 36.8745751 38.2211354)"
1141613424,residential,False,True,95.477,"LINESTRING (36.8746063 38.2219081, 36.8745979 38.2220047, 36.8746052 38.2220668, 36.8746445 38.2221088, 36.8748361 38.2221299, 36.8749666 38.2221273, 36.8752616 38.222123, 36.8754665 38.2221216)"
1141613423,residential,False,True,32.236,"LINESTRING (36.8757565 38.2218185, 36.8757887 38.2221073)"
1141613410,residential,False,False,137.67000000000002,"LINESTRING (36.8757565 38.2218185, 36.8764472 38.2216215, 36.8767625 38.2215344, 36.8772671 38.2214965)"
1141613410,residential,False,True,101.293,"LINESTRING (36.8757565 38.2218185, 36.8755299 38.2218407, 36.8754709 38.2218322, 36.8749344 38.2218617, 36.8746063 38.2219081)"
1141613411,residential,False,False,28.191,"LINESTRING (36.8754665 38.2221216, 36.8757887 38.2221073)"
1141613422,residential,False,False,63.265,"LINESTRING (36.8754665 38.2221216, 36.8754721 38.2223639, 36.8754754 38.2224968, 36.8754681 38.2226904)"
1141613424,residential,False,False,95.477,"LINESTRING (36.8754665 38.2221216, 36.8752616 38.222123, 36.8749666 38.2221273, 36.8748361 38.2221299, 36.8746445 38.2221088, 36.8746052 38.2220668, 36.8745979 38.2220047, 36.8746063 38.2219081)"
1141613411,residential,False,False,14.679,"LINESTRING (36.8757887 38.2221073, 36.8759567 38.2221044)"
1141613411,residential,False,True,28.191,"LINESTRING (36.8757887 38.2221073, 36.8754665 38.2221216)"
1141613423,residential,False,False,32.236,"LINESTRING (36.8757887 38.2221073, 36.8757565 38.2218185)"
1141613411,residential,False,True,4.878,"LINESTRING (36.8772927 38.222256, 36.8772432 38.2222357)"
1141613417,residential,False,False,36.239,"LINESTRING (36.8772927 38.222256, 36.8775304 38.2219889)"
1141613412,residential,False,True,39.66,"LINESTRING (36.8772927 38.222256, 36.8773293 38.2223476, 36.8772489 38.2226005)"
1141613413,residential,False,False,46.477,"LINESTRING (36.8769568 38.222948, 36.8771416 38.2227575, 36.8771858 38.2226827, 36.8772489 38.2226005)"
1141613415,residential,False,False,84.553,"LINESTRING (36.8769568 38.222948, 36.8768395 38.222975, 36.8766463 38.2229504, 36.8764686 38.2228955, 36.8760096 38.2228923)"
1141703555,residential,False,False,43.275999999999996,"LINESTRING (36.8769568 38.222948, 36.8768581 38.2231456, 36.8768134 38.223319)"
1141613412,residential,False,False,39.66,"LINESTRING (36.8772489 38.2226005, 36.8773293 38.2223476, 36.8772927 38.222256)"
1141613413,residential,False,True,46.477000000000004,"LINESTRING (36.8772489 38.2226005, 36.8771858 38.2226827, 36.8771416 38.2227575, 36.8769568 38.222948)"
1141613414,residential,False,True,85.88699999999999,"LINESTRING (36.8772489 38.2226005, 36.877286 38.2227258, 36.8773148 38.2228539, 36.8773571 38.223036, 36.8773696 38.2232564, 36.8773254 38.2233586)"
1141703555,residential,False,True,290.171,"LINESTRING (36.8759573 38.225834, 36.8761396 38.2252965, 36.8766816 38.2239966, 36.8768134 38.223319)"
725851327,unclassified,False,False,10.841,"LINESTRING (36.8775304 38.2219889, 36.8774067 38.2219811)"
1141613417,residential,False,True,36.239,"LINESTRING (36.8775304 38.2219889, 36.8772927 38.222256)"
725851327,unclassified,False,True,303.202,"LINESTRING (36.8775304 38.2219889, 36.8776177 38.2219925, 36.8776969 38.2219856, 36.8781008 38.2217438, 36.8783375 38.2215872, 36.8785976 38.221438, 36.8793232 38.2210681, 36.8802712 38.2206077, 36.880441 38.2205502)"
1141613420,residential,False,False,8.739,"LINESTRING (36.8755371 38.2227473, 36.8754681 38.2226904)"
1141613418,residential,False,False,44.388,"LINESTRING (36.8755371 38.2227473, 36.8756908 38.2227847, 36.8758786 38.2228732, 36.8760058 38.2228859)"
1141613419,residential,False,False,495.79600000000005,"LINESTRING (36.8755371 38.2227473, 36.8754938 38.2228277, 36.8754814 38.2229275, 36.8754713 38.2231064, 36.8754766 38.2231935, 36.8754394 38.2232166, 36.8752463 38.2232708, 36.8748382 38.223459, 36.8745539 38.2235603, 36.8736792 38.2237793, 36.8733841 38.2238657, 36.8730891 38.2239943, 36.8727484 38.2241713, 36.8725232 38.2243272, 36.8724293 38.2244115, 36.8723863 38.2245253, 36.8724078 38.2247234, 36.8723917 38.224814, 36.8723513 38.2248938, 36.8721101 38.2250458, 36.8714798 38.2252839)"
1141593526,residential,False,True,0.785,"LINESTRING (36.8760058 38.2228859, 36.8760096 38.2228923)"
1141593526,residential,False,False,87.80099999999999,"LINESTRING (36.8760058 38.2228859, 36.8759604 38.2228095, 36.8759513 38.2226727, 36.8759559 38.2223059, 36.8759567 38.2221044)"
1141613418,residential,False,True,44.388,"LINESTRING (36.8760058 38.2228859, 36.8758786 38.2228732, 36.8756908 38.2227847, 36.8755371 38.2227473)"
1141613419,residential,False,True,495.796,"LINESTRING (36.8714798 38.2252839, 36.8721101 38.2250458, 36.8723513 38.2248938, 36.8723917 38.224814, 36.8724078 38.2247234, 36.8723863 38.2245253, 36.8724293 38.2244115, 36.8725232 38.2243272, 36.8727484 38.2241713, 36.8730891 38.2239943, 36.8733841 38.2238657, 36.8736792 38.2237793, 36.8745539 38.2235603, 36.8748382 38.223459, 36.8752463 38.2232708, 36.8754394 38.2232166, 36.8754766 38.2231935, 36.8754713 38.2231064, 36.8754814 38.2229275, 36.8754938 38.2228277, 36.8755371 38.2227473)"
1141613420,residential,False,True,8.739,"LINESTRING (36.8754681 38.2226904, 36.8755371 38.2227473)"
1141613421,residential,False,True,132.134,"LINESTRING (36.8754681 38.2226904, 36.8751034 38.222581, 36.8746766 38.2224226, 36.8742374 38.2222504, 36.8741428 38.2221497)"
1141613422,residential,False,True,63.265,"LINESTRING (36.8754681 38.2226904, 36.8754754 38.2224968, 36.8754721 38.2223639, 36.8754665 38.2221216)"
1141613425,residential,False,False,19.379,"LINESTRING (36.8741428 38.2221497, 36.873922 38.2221665)"
1141613410,residential,False,False,48.618,"LINESTRING (36.8741428 38.2221497, 36.8742478 38.222102, 36.8744248 38.222005, 36.8746063 38.2219081)"
