osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry
206702938,False,2,Hükümet Caddesi,secondary,30,False,27.602,"LINESTRING (27.4982464 40.9757463, 27.4985557 40.9758305)"
162878137,True,2,Ekrem Tantı Caddesi,secondary,50,False,64.051,"LINESTRING (27.4982464 40.9757463, 27.4982872 40.9755718, 27.4982923 40.975173)"
162878152,True,,Çınarlı Caddesi,tertiary,,False,71.996,"LINESTRING (27.5036169 40.97719, 27.5035903 40.9772227, 27.5035384 40.9772479, 27.5034777 40.9772688, 27.5031834 40.9773584, 27.5028421 40.9774473)"
942824309,True,1,Köprübaşı Caddesi,residential,,False,40.806000000000004,"LINESTRING (27.5036169 40.97719, 27.5036497 40.977228, 27.5036585 40.9772624, 27.5036584 40.9772901, 27.503616 40.9773685, 27.5035782 40.9774296, 27.5035403 40.9774792, 27.503509 40.9775227)"
1037833487,True,2,Hükümet Caddesi,secondary,30,False,108.551,"LINESTRING (27.5036169 40.97719, 27.5034975 40.9771864, 27.503417 40.9771763, 27.5032309 40.9771279, 27.5023985 40.9768794)"
173935669,True,,Lise Caddesi,residential,,False,100.47299999999998,"LINESTRING (27.5054281 40.9770839, 27.5054292 40.9770422, 27.5054385 40.9766384, 27.5054671 40.9761809)"
1068756530,True,2,Hükümet Caddesi,secondary,,False,94.44899999999998,"LINESTRING (27.5054281 40.9770839, 27.5050119 40.9771014, 27.5045184 40.9771095, 27.5043038 40.97711)"
1068756530,True,2,Hükümet Caddesi,secondary,,False,46.974,"LINESTRING (27.5059876 40.977078, 27.5054281 40.9770839)"
216467018,False,,Gülbahar Sokak,residential,,True,111.834,"LINESTRING (27.5059876 40.977078, 27.5059766 40.9769725, 27.5059657 40.976866, 27.5059756 40.976707, 27.505994 40.9765865, 27.5062288 40.9761055)"
1068756530,True,2,Hükümet Caddesi,secondary,,False,90.905,"LINESTRING (27.5079915 40.9770609, 27.5077577 40.9770206, 27.5075728 40.9770003, 27.5072176 40.9769833, 27.506918 40.9769987)"
1068756531,True,,Demir Sokak,secondary,,False,25.212,"LINESTRING (27.5079915 40.9770609, 27.5081041 40.977047, 27.5082903 40.9770442)"
