osmid,name,highway,maxspeed,oneway,reversed,length,geometry
858333385,Asbury Road,secondary,35 mph,False,False,447.91200000000003,"LINESTRING (-90.75817 42.510793, -90.7564735 42.5125251, -90.7560996 42.5128383, -90.7555325 42.5132039, -90.7554854 42.5132343, -90.7551508 42.5134126, -90.755024 42.5134802, -90.7545071 42.513726)"
471671176,Water View Lane,residential,,False,False,63.411,"LINESTRING (-90.7545071 42.513726, -90.7541615 42.5132158)"
858333385,Asbury Road,secondary,35 mph,False,False,188.191,"LINESTRING (-90.7545071 42.513726, -90.7542288 42.5138374, -90.7535102 42.5140558, -90.7527394 42.5142136, -90.7525766 42.5142391, -90.7523461 42.5142752)"
858333385,Asbury Road,secondary,35 mph,False,True,447.91200000000003,"LINESTRING (-90.7545071 42.513726, -90.755024 42.5134802, -90.7551508 42.5134126, -90.7554854 42.5132343, -90.7555325 42.5132039, -90.7560996 42.5128383, -90.7564735 42.5125251, -90.75817 42.510793)"
858333385,Asbury Road,secondary,35 mph,False,False,179.85700000000003,"LINESTRING (-90.7523461 42.5142752, -90.751082 42.5144506, -90.7505898 42.5145189, -90.7501896 42.5145744)"
858333385,Asbury Road,secondary,35 mph,False,True,188.191,"LINESTRING (-90.7523461 42.5142752, -90.7525766 42.5142391, -90.7527394 42.5142136, -90.7535102 42.5140558, -90.7542288 42.5138374, -90.7545071 42.513726)"
15886252,Radford Road,tertiary,,False,True,102.27799999999999,"LINESTRING (-90.7501896 42.5145744, -90.7501655 42.5139761, -90.7501525 42.513655)"
858333385,Asbury Road,secondary,35 mph,False,True,179.857,"LINESTRING (-90.7501896 42.5145744, -90.7505898 42.5145189, -90.751082 42.5144506, -90.7523461 42.5142752)"
692250581,Valley Forge Road,residential,,False,False,93.055,"LINESTRING (-90.7530512 42.5111031, -90.7519162 42.5111214)"
692250581,Valley Forge Road,residential,,False,True,91.792,"LINESTRING (-90.7530512 42.5111031, -90.7541708 42.5110851)"
692250581,Valley Forge Road,residential,,False,False,91.792,"LINESTRING (-90.7541708 42.5110851, -90.7530512 42.5111031)"
692250581,Valley Forge Road,residential,,False,True,52.989999999999995,"LINESTRING (-90.7541708 42.5110851, -90.7546707 42.5110794, -90.7548172 42.5110777)"
15886252,Radford Road,tertiary,,False,True,26.7,"LINESTRING (-90.7500984 42.5106604, -90.7500942 42.5104203)"
15883195,Asbury Meadows,residential,,False,False,206.272,"LINESTRING (-90.7500984 42.5106604, -90.7509141 42.5106477, -90.7510171 42.5105556, -90.7510021 42.510105, -90.7508605 42.5100382, -90.7501014 42.5100425)"
15886252,Radford Road,tertiary,,False,False,167.487,"LINESTRING (-90.7500984 42.5106604, -90.7501133 42.5110577, -90.7501158 42.5111243, -90.7501319 42.5115528, -90.7501367 42.5121663)"
15883638,Asbury Circle,residential,,False,False,113.24699999999999,"LINESTRING (-90.7501525 42.513655, -90.7493114 42.5136681, -90.7491884 42.513701, -90.7490785 42.5137721, -90.7489685 42.5138038, -90.7488237 42.5138117)"
15886252,Radford Road,tertiary,,False,False,102.27799999999999,"LINESTRING (-90.7501525 42.513655, -90.7501655 42.5139761, -90.7501896 42.5145744)"
15886252,Radford Road,tertiary,,False,True,165.543,"LINESTRING (-90.7501525 42.513655, -90.7501434 42.5124518, -90.7501367 42.5121663)"
"[15883641, 15883642, 15883638]",Asbury Circle,residential,,False,"[False, True]",405.256,"LINESTRING (-90.7488237 42.5138117, -90.7486493 42.5138295, -90.7474021 42.5138631, -90.747276 42.5138433, -90.7472118 42.513795, -90.747171 42.5132853, -90.7471956 42.5132166, -90.7472492 42.5131553, -90.7486323 42.5131252, -90.7487378 42.5131612, -90.7488071 42.5132151, -90.7488263 42.5133055, -90.7488237 42.5138117)"
