osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,width
"[38221240, 38221241]",yes,True,2,US 27,motorway,55 mph,False,317.77700000000004,"LINESTRING (-85.3140465 35.0463262, -85.3140489 35.0464992, -85.3140539 35.0468566, -85.3141327 35.0491831)",,
"[38221238, 38221239]",yes,True,3,US 27,motorway,55 mph,False,363.89,"LINESTRING (-85.314292 35.046957, -85.3142638 35.046402, -85.3142281 35.0454477, -85.3141969 35.0447324, -85.3142029 35.0442926, -85.3142073 35.0441455, -85.3142179 35.0439782, -85.3142343 35.043823, -85.3142569 35.043688)",,
"[859902577, 859902578]",yes,True,1,,motorway_link,55 mph,False,358.3930000000001,"LINESTRING (-85.314292 35.046957, -85.3143377 35.0464595, -85.3143449 35.0462928, -85.3143693 35.0461463, -85.3144099 35.0460398, -85.3144709 35.0459533, -85.3145604 35.0458667, -85.3146701 35.0458068, -85.3147514 35.0457802, -85.3148287 35.0457702, -85.3149506 35.0457735, -85.3150807 35.0457968, -85.3151946 35.0458368, -85.3152759 35.0458867, -85.3153369 35.0459433, -85.31541 35.0460265, -85.3154548 35.0461064, -85.3154749 35.0461965, -85.3154779 35.0462752, -85.3154668 35.0463693, -85.3154312 35.0464634, -85.315331 35.0465834, -85.3151935 35.0466754, -85.3150299 35.046732, -85.3148534 35.0467485, -85.3145654 35.0467292)",,
51066109,,True,,,primary,,False,98.177,"LINESTRING (-85.3126307 35.0460098, -85.3121089 35.0458136, -85.3118053 35.0457183, -85.3117817 35.0457202, -85.3116282 35.04574)",West Martin Luther King Boulevard,
111563727,,True,,,primary,,False,28.004,"LINESTRING (-85.3125704 35.0461185, -85.3128548 35.0462145)",West Martin Luther King Boulevard,
183526664,,True,,,residential,,False,41.324,"LINESTRING (-85.3125704 35.0461185, -85.3125898 35.0464898)",Pine Street,
862070076,,False,,,secondary,,False,144.98999999999998,"LINESTRING (-85.3095554 35.0496838, -85.3095525 35.0496304, -85.3094891 35.0484305, -85.3094865 35.0483811)",Market Street,
1156343688,,True,,,residential,,False,92.86,"LINESTRING (-85.3095554 35.0496838, -85.3094411 35.0496848, -85.3086217 35.0496942, -85.3085354 35.0496952)",East 6th Street,
19495302,,True,,,residential,,False,91.105,"LINESTRING (-85.3094865 35.0483811, -85.3095856 35.0483872, -85.3103928 35.0483624, -85.3104864 35.0483598)",West 7th Street,
862070076,,False,,,secondary,,True,144.98999999999998,"LINESTRING (-85.3094865 35.0483811, -85.3094891 35.0484305, -85.3095525 35.0496304, -85.3095554 35.0496838)",Market Street,
