osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry
21380297,8,US 40;US 62;SR 16,East Broad Street,primary,35 mph,False,True,228.967,"LINESTRING (-83.000642 39.9622317, -83.0005122 39.9622461, -82.9997469 39.9623319, -82.999447 39.9623654, -82.9990048 39.9624149, -82.9985867 39.9624617, -82.9985604 39.9624644, -82.9981179 39.9625097, -82.9979826 39.9625235)"
42295733,4,,South High Street,primary,35 mph,False,False,233.981,"LINESTRING (-83.000642 39.9622317, -83.0006131 39.962078, -83.0005988 39.9620019, -83.0005896 39.9619546, -83.0005487 39.9617427, -83.0005036 39.9615088, -83.0002811 39.9603561, -83.0002629 39.960263, -83.0002413 39.96015)"
"[121468089, 422400963]","['7', '8']",US 40;SR 16,West Broad Street,primary,35 mph,False,False,152.133,"LINESTRING (-83.000642 39.9622317, -83.0007999 39.9622121, -83.001548 39.9621188, -83.002277 39.9620438, -83.0024074 39.9620303)"
422396774,,,North High Street,primary,,False,True,155.792,"LINESTRING (-83.000642 39.9622317, -83.0006681 39.9623658, -83.0008905 39.9635013, -83.000912 39.9636174)"
21354941,,,North High Street,primary,,False,True,148.683,"LINESTRING (-83.000912 39.9636174, -83.0009341 39.9637313, -83.0011498 39.9648429, -83.0011686 39.96494)"
21403103,,,East Gay Street,tertiary,,False,False,229.40300000000002,"LINESTRING (-83.000912 39.9636174, -83.0007628 39.9636345, -83.0000137 39.9637203, -82.9999403 39.9637287, -82.9988377 39.9638545, -82.9983935 39.9639056, -82.9982498 39.9639221)"
"[1173975936, 21403521]",3,,West Gay Street,tertiary,,False,False,152.58800000000002,"LINESTRING (-83.000912 39.9636174, -83.0010619 39.9635995, -83.0017395 39.9635185, -83.0018142 39.9635096, -83.0025396 39.9634229, -83.0026809 39.9634054)"
422396774,,,North High Street,primary,,False,False,155.792,"LINESTRING (-83.000912 39.9636174, -83.0008905 39.9635013, -83.0006681 39.9623658, -83.000642 39.9622317)"
21354941,,,North High Street,primary,,False,False,148.683,"LINESTRING (-83.0011686 39.96494, -83.0011498 39.9648429, -83.0009341 39.9637313, -83.000912 39.9636174)"
"[850023686, 21410199]",5,US 33,East Long Street,primary,,True,False,229.571,"LINESTRING (-83.0011686 39.96494, -83.0010287 39.9649562, -83.000268 39.9650442, -83.000094 39.9650643, -82.9998725 39.9650899, -82.9993796 39.9651469, -82.9993251 39.9651532, -82.9992676 39.9651599, -82.9992294 39.9651643, -82.9990168 39.9651889, -82.998823 39.9652113, -82.99863 39.9652336, -82.998505 39.965248)"
