osmid,highway,oneway,reversed,length,geometry,name,ref,lanes
18338713,residential,False,False,136.96,"LINESTRING (-90.025176 37.316667, -90.025509 37.31694, -90.025552 37.316975, -90.026191 37.317438, -90.026324 37.317483)",,,
18338713,residential,False,True,136.96,"LINESTRING (-90.026324 37.317483, -90.026191 37.317438, -90.025552 37.316975, -90.025509 37.31694, -90.025176 37.316667)",,,
18341671,residential,False,False,47.411,"LINESTRING (-90.026324 37.317483, -90.026648 37.317339, -90.026792 37.317275)",Creek Street,,
18338836,residential,False,False,40.17,"LINESTRING (-90.026792 37.317275, -90.026622 37.31694)",,,
18341671,residential,False,True,47.411,"LINESTRING (-90.026792 37.317275, -90.026648 37.317339, -90.026324 37.317483)",Creek Street,,
18341672,residential,False,False,66.437,"LINESTRING (-90.026792 37.317275, -90.026985 37.317647, -90.02704 37.317722, -90.027173 37.317745)",Creek Street,,
18338836,residential,False,True,40.17,"LINESTRING (-90.026622 37.31694, -90.026792 37.317275)",,,
18338864,residential,False,False,60.968,"LINESTRING (-90.028758 37.315337, -90.02915 37.31543, -90.029252 37.315434, -90.02943 37.315441)",,,
18338864,residential,False,False,134.3,"LINESTRING (-90.02943 37.315441, -90.0303 37.315463, -90.030329 37.314948)",,,
18338864,residential,False,True,60.968,"LINESTRING (-90.02943 37.315441, -90.029252 37.315434, -90.02915 37.31543, -90.028758 37.315337)",,,
18343338,unclassified,False,False,185.551,"LINESTRING (-90.02943 37.315441, -90.029446 37.316132, -90.029473 37.316769, -90.029488 37.317109)",State Highway ZZ,MO ZZ,
18343338,unclassified,False,True,160.309,"LINESTRING (-90.02943 37.315441, -90.029394 37.314799, -90.029382 37.314)",State Highway ZZ,MO ZZ,
18338864,residential,False,True,134.3,"LINESTRING (-90.030329 37.314948, -90.0303 37.315463, -90.02943 37.315441)",,,
18339011,residential,False,False,84.468,"LINESTRING (-90.028329 37.319516, -90.02918 37.319171)",,,
18339011,residential,False,False,105.148,"LINESTRING (-90.02918 37.319171, -90.030239 37.318741)",,,
18339011,residential,False,True,84.468,"LINESTRING (-90.02918 37.319171, -90.028329 37.319516)",,,
18342031,residential,False,True,107.625,"LINESTRING (-90.02918 37.319171, -90.028676 37.31829)",2nd Street,,
18339011,residential,False,True,105.148,"LINESTRING (-90.030239 37.318741, -90.02918 37.319171)",,,
18343338,unclassified,False,False,142.72299999999998,"LINESTRING (-90.030239 37.318741, -90.030445 37.319061, -90.030525 37.319187, -90.030661 37.319321, -90.030811 37.319453, -90.030974 37.319561, -90.031161 37.319659, -90.031256 37.3197)",State Highway ZZ,MO ZZ,
18343338,unclassified,False,True,107.21000000000001,"LINESTRING (-90.030239 37.318741, -90.030071 37.318475, -90.029686 37.317883)",State Highway ZZ,MO ZZ,
18339012,residential,False,False,47.703,"LINESTRING (-90.027173 37.317745, -90.027222 37.317754, -90.027351 37.317711, -90.027666 37.317591)",,,
"[18341861, 18340597]",residential,False,True,205.912,"LINESTRING (-90.027173 37.317745, -90.02775 37.318663, -90.028676 37.31829)",Spring Street,,
18341672,residential,False,True,66.437,"LINESTRING (-90.027173 37.317745, -90.02704 37.317722, -90.026985 37.317647, -90.026792 37.317275)",Creek Street,,
18339012,residential,False,False,49.164,"LINESTRING (-90.027666 37.317591, -90.028168 37.317401)",,,
18343321,residential,False,True,96.42,"LINESTRING (-90.027666 37.317591, -90.027155 37.316825)",Short Street,,
18339012,residential,False,True,47.703,"LINESTRING (-90.027666 37.317591, -90.027351 37.317711, -90.027222 37.317754, -90.027173 37.317745)",,,
18339012,residential,False,True,49.164,"LINESTRING (-90.028168 37.317401, -90.027666 37.317591)",,,
18342031,residential,False,False,108.581,"LINESTRING (-90.028168 37.317401, -90.028676 37.31829)",2nd Street,,
18339012,residential,False,False,106.904,"LINESTRING (-90.028168 37.317401, -90.029057 37.317029, -90.029251 37.31708)",,,
18339012,residential,False,False,21.205,"LINESTRING (-90.029251 37.31708, -90.029488 37.317109)",,,
