osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
12985622,Adams Street,residential,False,False,164.476,,,,"LINESTRING (-98.775599 38.361781, -98.775627 38.36326)"
12985622,Adams Street,residential,False,True,187.697,,,,"LINESTRING (-98.775599 38.361781, -98.7756 38.360093)"
651209478,10th Street,trunk,False,False,114.517,4,US 56,35 mph,"LINESTRING (-98.775599 38.361781, -98.775837 38.361792, -98.776912 38.361797)"
12983737,Jefferson Street,residential,False,False,161.943,,,,"LINESTRING (-98.776912 38.361797, -98.776955 38.363253)"
12983737,Jefferson Street,residential,False,True,189.813,,,,"LINESTRING (-98.776912 38.361797, -98.776925 38.36009)"
"[1233562701, 651209478]",10th Street,trunk,False,False,116.74600000000001,4,"['US 56', 'US 56;KS 96;KS 156']",35 mph,"LINESTRING (-98.776912 38.361797, -98.7779932 38.3617962, -98.778251 38.361796)"
651209478,10th Street,trunk,False,True,114.517,4,US 56,35 mph,"LINESTRING (-98.776912 38.361797, -98.775837 38.361792, -98.775599 38.361781)"
12983697,Madison Street,residential,False,False,161.805,,,,"LINESTRING (-98.778251 38.361796, -98.778277 38.363251)"
12983697,Madison Street,residential,False,True,189.478,,,,"LINESTRING (-98.778251 38.361796, -98.778242 38.360092)"
1233562701,10th Street,trunk,False,False,115.041,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.778251 38.361796, -98.7790589 38.3617933, -98.7795704 38.3617979)"
"[1233562701, 651209478]",10th Street,trunk,False,True,116.74600000000001,4,"['US 56', 'US 56;KS 96;KS 156']",35 mph,"LINESTRING (-98.778251 38.361796, -98.7779932 38.3617962, -98.776912 38.361797)"
12984744,Monroe Street,residential,False,False,160.707,,,,"LINESTRING (-98.7795704 38.3617979, -98.779599 38.363243)"
289494545,10th Street,trunk,False,False,117.234,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.7795704 38.3617979, -98.780915 38.361797)"
1233562701,10th Street,trunk,False,True,115.041,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.7795704 38.3617979, -98.7790589 38.3617933, -98.778251 38.361796)"
1233562702,Monroe Street,residential,False,True,188.81400000000002,,,,"LINESTRING (-98.7795704 38.3617979, -98.7795597 38.3611627, -98.7795417 38.3601)"
12985721,Jackson Street,residential,False,False,160.344,,,,"LINESTRING (-98.780915 38.361797, -98.78092 38.363239)"
289494545,10th Street,trunk,False,False,114.916,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.780915 38.361797, -98.782233 38.361802)"
289494545,10th Street,trunk,False,True,117.234,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.780915 38.361797, -98.7795704 38.3617979)"
12984727,Van Buren Street,residential,False,False,159.233,,,,"LINESTRING (-98.782233 38.361802, -98.78224 38.363234)"
289494545,10th Street,trunk,False,False,115.368,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.782233 38.361802, -98.7835562 38.3618026)"
289494545,10th Street,trunk,False,True,114.916,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.782233 38.361802, -98.780915 38.361797)"
12984994,,trunk_link,True,False,63.242,,,,"LINESTRING (-98.784098 38.361799, -98.7839924 38.3617392, -98.783879 38.361675, -98.783785 38.361608, -98.783713 38.361538, -98.783661 38.361467, -98.78363 38.361385)"
289494545,10th Street,trunk,False,True,47.241,4,US 56;KS 96;KS 156,35 mph,"LINESTRING (-98.784098 38.361799, -98.7839164 38.3618002, -98.7835562 38.3618026)"
12983675,12th Street,residential,False,False,115.787,,,,"LINESTRING (-98.775627 38.36326, -98.776955 38.363253)"
12985622,Adams Street,residential,False,False,122.762,,,,"LINESTRING (-98.775627 38.36326, -98.775637 38.364364)"
12985622,Adams Street,residential,False,True,164.476,,,,"LINESTRING (-98.775627 38.36326, -98.775599 38.361781)"
12983675,12th Street,residential,False,False,115.262,,,,"LINESTRING (-98.776955 38.363253, -98.778277 38.363251)"
12983675,12th Street,residential,False,True,115.787,,,,"LINESTRING (-98.776955 38.363253, -98.775627 38.36326)"
12983737,Jefferson Street,residential,False,False,122.205,,,,"LINESTRING (-98.776955 38.363253, -98.776962 38.364352)"
12983737,Jefferson Street,residential,False,True,161.943,,,,"LINESTRING (-98.776955 38.363253, -98.776912 38.361797)"
12983675,12th Street,residential,False,False,115.265,,,,"LINESTRING (-98.778277 38.363251, -98.779599 38.363243)"
12983675,12th Street,residential,False,True,115.262,,,,"LINESTRING (-98.778277 38.363251, -98.776955 38.363253)"
12983697,Madison Street,residential,False,False,121.759,,,,"LINESTRING (-98.778277 38.363251, -98.778282 38.364346)"
12983697,Madison Street,residential,False,True,161.805,,,,"LINESTRING (-98.778277 38.363251, -98.778251 38.361796)"
12983675,12th Street,residential,False,False,115.175,,,,"LINESTRING (-98.779599 38.363243, -98.78092 38.363239)"
12983675,12th Street,residential,False,True,115.265,,,,"LINESTRING (-98.779599 38.363243, -98.778277 38.363251)"
12984744,Monroe Street,residential,False,False,122.096,,,,"LINESTRING (-98.779599 38.363243, -98.77961 38.364341)"
12984744,Monroe Street,residential,False,True,160.707,,,,"LINESTRING (-98.779599 38.363243, -98.7795704 38.3617979)"
12983675,12th Street,residential,False,False,115.088,,,,"LINESTRING (-98.78092 38.363239, -98.78224 38.363234)"
12983675,12th Street,residential,False,True,115.175,,,,"LINESTRING (-98.78092 38.363239, -98.779599 38.363243)"
12985721,Jackson Street,residential,False,False,121.541,,,,"LINESTRING (-98.78092 38.363239, -98.780932 38.364332)"
12985721,Jackson Street,residential,False,True,160.344,,,,"LINESTRING (-98.78092 38.363239, -98.780915 38.361797)"
12983675,12th Street,residential,False,False,116.483,,,,"LINESTRING (-98.78224 38.363234, -98.783576 38.363229)"
12983675,12th Street,residential,False,True,115.088,,,,"LINESTRING (-98.78224 38.363234, -98.78092 38.363239)"
12984727,Van Buren Street,residential,False,False,122.097,,,,"LINESTRING (-98.78224 38.363234, -98.782252 38.364332)"
12984727,Van Buren Street,residential,False,True,159.233,,,,"LINESTRING (-98.78224 38.363234, -98.782233 38.361802)"
12983675,12th Street,residential,False,False,152.496,,,,"LINESTRING (-98.783576 38.363229, -98.785325 38.363217)"
12983675,12th Street,residential,False,True,116.483,,,,"LINESTRING (-98.783576 38.363229, -98.78224 38.363234)"
12984991,Harrison Street,tertiary,False,False,121.761,,,,"LINESTRING (-98.783576 38.363229, -98.783585 38.364324)"
12984991,Harrison Street,tertiary,False,True,158.618,,,,"LINESTRING (-98.783576 38.363229, -98.7835562 38.3618026)"
12983675,12th Street,residential,False,True,152.496,,,,"LINESTRING (-98.785325 38.363217, -98.783576 38.363229)"
12984328,Polyantha Tyler Street,residential,False,False,121.871,,,,"LINESTRING (-98.785325 38.363217, -98.785332 38.364313)"
12983697,Madison Street,residential,False,False,112.307,,,,"LINESTRING (-98.778241 38.359082, -98.778242 38.360092)"
12985512,8th Street,residential,False,True,115.707,,,,"LINESTRING (-98.778241 38.359082, -98.776914 38.359075)"
"[12983697, 12985361]","['Madison Street', '7th Street']",residential,False,True,537.8149999999999,,,,"LINESTRING (-98.778241 38.359082, -98.778225 38.358554, -98.778252 38.358515, -98.7783418 38.35843, -98.778459 38.358323, -98.778465 38.3582659, -98.778485 38.358193, -98.778588 38.358116, -98.778905 38.358116, -98.7814077 38.3581124, -98.782022 38.3581115, -98.7831 38.3581076, -98.7832394 38.3581202, -98.7833836 38.3581637)"
12983697,Madison Street,residential,False,False,189.478,,,,"LINESTRING (-98.778242 38.360092, -98.778251 38.361796)"
12983697,Madison Street,residential,False,True,112.307,,,,"LINESTRING (-98.778242 38.360092, -98.778241 38.359082)"
12985613,9th Street,residential,False,False,113.326,,,,"LINESTRING (-98.778242 38.360092, -98.7795417 38.3601)"
12985613,9th Street,residential,False,True,114.831,,,,"LINESTRING (-98.778242 38.360092, -98.776925 38.36009)"
12983697,Madison Street,residential,False,False,117.313,,,,"LINESTRING (-98.778282 38.364346, -98.77829 38.365401)"
12983697,Madison Street,residential,False,True,121.759,,,,"LINESTRING (-98.778282 38.364346, -98.778277 38.363251)"
12984834,Lakin Avenue,residential,False,False,115.784,,,,"LINESTRING (-98.778282 38.364346, -98.77961 38.364341)"
12984834,Lakin Avenue,residential,False,True,115.087,,,,"LINESTRING (-98.778282 38.364346, -98.776962 38.364352)"
12983697,Madison Street,residential,False,False,111.53,,,,"LINESTRING (-98.77829 38.365401, -98.778297 38.366404)"
12983697,Madison Street,residential,False,True,117.313,,,,"LINESTRING (-98.77829 38.365401, -98.778282 38.364346)"
12985659,Forest Avenue,residential,False,False,115.433,,,,"LINESTRING (-98.77829 38.365401, -98.779614 38.365397)"
12985659,Forest Avenue,residential,False,True,115.099,,,,"LINESTRING (-98.77829 38.365401, -98.77697 38.365418)"
12983697,Madison Street,residential,False,False,11.043,,,,"LINESTRING (-98.778297 38.366404, -98.778307 38.366503)"
12983697,Madison Street,residential,False,True,111.53,,,,"LINESTRING (-98.778297 38.366404, -98.77829 38.365401)"
453647607,Broadway Avenue,tertiary,True,False,114.997,,,,"LINESTRING (-98.778297 38.366404, -98.776978 38.36641)"
12983697,Madison Street,residential,False,True,11.043,,,,"LINESTRING (-98.778307 38.366503, -98.778297 38.366404)"
12983798,Broadway Avenue,tertiary,True,False,114.997,,,,"LINESTRING (-98.778307 38.366503, -98.779626 38.366497)"
12983737,Jefferson Street,residential,False,False,102.633,,,,"LINESTRING (-98.776912 38.358152, -98.776914 38.359075)"
12983737,Jefferson Street,residential,False,False,112.867,,,,"LINESTRING (-98.776914 38.359075, -98.776925 38.36009)"
12983737,Jefferson Street,residential,False,True,102.633,,,,"LINESTRING (-98.776914 38.359075, -98.776912 38.358152)"
12985512,8th Street,residential,False,False,115.707,,,,"LINESTRING (-98.776914 38.359075, -98.778241 38.359082)"
12985512,8th Street,residential,False,True,115.268,,,,"LINESTRING (-98.776914 38.359075, -98.775592 38.359077)"
12983737,Jefferson Street,residential,False,False,189.813,,,,"LINESTRING (-98.776925 38.36009, -98.776912 38.361797)"
12983737,Jefferson Street,residential,False,True,112.867,,,,"LINESTRING (-98.776925 38.36009, -98.776914 38.359075)"
12985613,9th Street,residential,False,False,114.831,,,,"LINESTRING (-98.776925 38.36009, -98.778242 38.360092)"
12985613,9th Street,residential,False,True,115.528,,,,"LINESTRING (-98.776925 38.36009, -98.7756 38.360093)"
12983737,Jefferson Street,residential,False,False,118.536,,,,"LINESTRING (-98.776962 38.364352, -98.77697 38.365418)"
12983737,Jefferson Street,residential,False,True,122.205,,,,"LINESTRING (-98.776962 38.364352, -98.776955 38.363253)"
12984834,Lakin Avenue,residential,False,False,115.087,,,,"LINESTRING (-98.776962 38.364352, -98.778282 38.364346)"
12984834,Lakin Avenue,residential,False,True,115.529,,,,"LINESTRING (-98.776962 38.364352, -98.775637 38.364364)"
12983737,Jefferson Street,residential,False,False,110.308,,,,"LINESTRING (-98.77697 38.365418, -98.776978 38.36641)"
12983737,Jefferson Street,residential,False,True,118.536,,,,"LINESTRING (-98.77697 38.365418, -98.776962 38.364352)"
12985659,Forest Avenue,residential,False,False,115.099,,,,"LINESTRING (-98.77697 38.365418, -98.77829 38.365401)"
12985659,Forest Avenue,residential,False,True,116.217,,,,"LINESTRING (-98.77697 38.365418, -98.775637 38.365416)"
12983737,Jefferson Street,residential,False,False,10.897,,,,"LINESTRING (-98.776978 38.36641, -98.776979 38.366508)"
12983737,Jefferson Street,residential,False,True,110.308,,,,"LINESTRING (-98.776978 38.36641, -98.77697 38.365418)"
453647607,Broadway Avenue,tertiary,True,False,116.044,,,,"LINESTRING (-98.776978 38.36641, -98.775647 38.366417)"
12983737,Jefferson Street,residential,False,True,10.897,,,,"LINESTRING (-98.776979 38.366508, -98.776978 38.36641)"
12983798,Broadway Avenue,tertiary,True,False,115.781,,,,"LINESTRING (-98.776979 38.366508, -98.778307 38.366503)"
12983796,Broadway Avenue,tertiary,False,False,116.22,,,,"LINESTRING (-98.784929 38.36642, -98.783596 38.366429)"
12984326,Polyantha Tyler Street,residential,False,True,116.645,,,,"LINESTRING (-98.784929 38.36642, -98.784922 38.365371)"
12983796,Broadway Avenue,tertiary,False,True,116.22,,,,"LINESTRING (-98.783596 38.366429, -98.784929 38.36642)"
12984991,Harrison Street,tertiary,False,True,116.978,,,,"LINESTRING (-98.783596 38.366429, -98.78359 38.365377)"
453647607,Broadway Avenue,tertiary,True,False,232.488,,,,"LINESTRING (-98.783596 38.366429, -98.783447 38.36638, -98.780942 38.366395)"
12985721,Jackson Street,residential,False,False,9.462,,,,"LINESTRING (-98.780942 38.366395, -98.780947 38.36648)"
12985721,Jackson Street,residential,False,True,112.196,,,,"LINESTRING (-98.780942 38.366395, -98.780945 38.365386)"
453647607,Broadway Avenue,tertiary,True,False,114.561,,,,"LINESTRING (-98.780942 38.366395, -98.779628 38.366401)"
12984744,Monroe Street,residential,False,False,10.676,,,,"LINESTRING (-98.779628 38.366401, -98.779626 38.366497)"
12984744,Monroe Street,residential,False,True,111.647,,,,"LINESTRING (-98.779628 38.366401, -98.779614 38.365397)"
