osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,junction
1049615937,Northeast 141st Street,residential,False,False,28.786,"LINESTRING (-80.1737248 25.9054212, -80.1734372 25.9054307)",,,,
1080779282,Northeast 141st Street,residential,False,True,133.34,"LINESTRING (-80.1737248 25.9054212, -80.175057 25.905377)",,,,
11104291,,residential,False,False,131.657,"LINESTRING (-80.1737248 25.9054212, -80.1737445 25.90535, -80.1742225 25.9048792, -80.1744208 25.9046839, -80.174439 25.904666, -80.1744393 25.9044817)",,,,
856231490,Northeast 140th Street,residential,False,True,56.213,"LINESTRING (-80.1744393 25.9044817, -80.175001 25.904465)",,,,
11104291,,residential,False,True,131.657,"LINESTRING (-80.1744393 25.9044817, -80.174439 25.904666, -80.1744208 25.9046839, -80.1742225 25.9048792, -80.1737445 25.90535, -80.1737248 25.9054212)",,,,
586203152,,residential,True,False,32.120000000000005,"LINESTRING (-80.1744393 25.9044817, -80.1743817 25.9044417, -80.1743544 25.904412, -80.1743147 25.9043532, -80.1742964 25.9042383)",,,,
856231490,Northeast 140th Street,residential,False,False,38.908,"LINESTRING (-80.1744393 25.9044817, -80.1742279 25.9044832, -80.1740506 25.904474)",,,,
1034711653,Northeast 142nd Street,residential,False,False,29.642,"LINESTRING (-80.1727693 25.9063627, -80.172473 25.906368)",,,,
11104294,,residential,False,False,125.554,"LINESTRING (-80.1727693 25.9063627, -80.1727749 25.9063192, -80.1731315 25.9059613, -80.1732434 25.9058491, -80.1733377 25.9057544, -80.1733667 25.9056961, -80.1733657 25.9054331)",,,,
1034711653,Northeast 142nd Street,residential,False,True,234.536,"LINESTRING (-80.1727693 25.9063627, -80.1733223 25.9063413, -80.175112 25.906272)",,,,
1049615933,Northeast 141st Street,residential,False,True,7.157,"LINESTRING (-80.1733657 25.9054331, -80.1734372 25.9054307)",,,,
1049615936,Northeast 141st Street,residential,False,False,29.997,"LINESTRING (-80.1733657 25.9054331, -80.173066 25.905443)",,,,
11104294,,residential,False,True,125.554,"LINESTRING (-80.1733657 25.9054331, -80.1733667 25.9056961, -80.1733377 25.9057544, -80.1732434 25.9058491, -80.1731315 25.9059613, -80.1727749 25.9063192, -80.1727693 25.9063627)",,,,
1034711653,Northeast 142nd Street,residential,False,True,29.642,"LINESTRING (-80.172473 25.906368, -80.1727693 25.9063627)",,,,
