osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
13343314,West 10th Street,residential,False,False,97.618,"LINESTRING (-117.8676119 33.7534219, -117.8677339 33.7533976, -117.8678147 33.7533982, -117.8685245 33.7534037, -117.8686643 33.7534048)",,
"[402194533, 402194541]",North Main Street,primary,False,True,99.60300000000001,"LINESTRING (-117.8676119 33.7534219, -117.8676054 33.753861, -117.8676001 33.7543176)","['4', '5']",45 mph
"[402194554, 921718996, 402194549]",North Main Street,primary,False,False,124.439,"LINESTRING (-117.8676119 33.7534219, -117.8676115 33.7533104, -117.8676151 33.7525458, -117.8676162 33.7523028)","['4', '5']",45 mph
13347479,West 4th Street,residential,False,False,95.565,"LINESTRING (-117.8676377 33.7480081, -117.8686713 33.7480125)",2,25 mph
554576888,North Main Street,primary,False,True,96.545,"LINESTRING (-117.8676377 33.7480081, -117.867627 33.7488763)",4,45 mph
"[402194564, 554576895]",North Main Street,primary,False,False,97.009,"LINESTRING (-117.8676377 33.7480081, -117.8676373 33.7479851, -117.8676426 33.7475904, -117.8676427 33.7471357)",4,45 mph
"[402205968, 402205937, 402205940, 402205934]",North Flower Street,secondary,False,True,201.606,"LINESTRING (-117.8765222 33.7497155, -117.8765222 33.7500875, -117.8765188 33.7502201, -117.8765172 33.7503864, -117.8765025 33.7510129, -117.8764965 33.7515284)","['7', '6']",
"[402205952, 402205963, 402205931, 402205943]",North Flower Street,secondary,False,True,193.754,"LINESTRING (-117.8765222 33.7497155, -117.8765147 33.7491692, -117.8765022 33.7488823, -117.8764915 33.7484396, -117.8764752 33.7480432, -117.8764702 33.7479737)","['5', '7', '6']",
"[664287619, 402205884]",North Broadway,secondary,False,True,113.60000000000001,"LINESTRING (-117.8696956 33.7544059, -117.8696991 33.7539798, -117.869702 33.753672, -117.8697049 33.7533843)","['4', '5']",
664287621,West Halesworth Street,residential,False,False,163.768,"LINESTRING (-117.8696956 33.7544059, -117.87027 33.7544067, -117.871467 33.7544084)",,
13295849,West Halesworth Street,residential,False,False,47.695,"LINESTRING (-117.871467 33.7544084, -117.8719829 33.7544092)",,
13357800,Riverine Avenue,residential,False,True,117.063,"LINESTRING (-117.871467 33.7544084, -117.8714815 33.7533557)",,
664287621,West Halesworth Street,residential,False,True,163.768,"LINESTRING (-117.871467 33.7544084, -117.87027 33.7544067, -117.8696956 33.7544059)",,
13313924,North Ross Street,tertiary,False,False,56.366,"LINESTRING (-117.8724945 33.7544099, -117.8724909 33.7549168)",2,
13313924,North Ross Street,tertiary,False,True,82.008,"LINESTRING (-117.8724945 33.7544099, -117.8724997 33.7536724)",2,
664287618,West Halesworth Street,residential,False,True,47.298,"LINESTRING (-117.8724945 33.7544099, -117.8719829 33.7544092)",,
13296402,North Olive Street,residential,False,False,168.858,"LINESTRING (-117.877458 33.7521393, -117.8774398 33.7536578)",,
13296402,North Olive Street,residential,False,True,168.858,"LINESTRING (-117.8774398 33.7536578, -117.877458 33.7521393)",,
664287831,West 10th Street,residential,False,True,83.479,"LINESTRING (-117.8774398 33.7536578, -117.8765369 33.7536653)",,
13306350,North Parton Street,tertiary,False,False,98.158,"LINESTRING (-117.8744772 33.747106, -117.8744792 33.7471904, -117.8744811 33.7472716, -117.8744818 33.7473052, -117.8744963 33.74794, -117.874496 33.7479886)",2,
600494983,West 3rd Street,tertiary,False,False,177.01299999999998,"LINESTRING (-117.8744772 33.747106, -117.8745078 33.7471058, -117.8753161 33.7471014, -117.8753966 33.7471015, -117.8755001 33.7471017, -117.8757098 33.747102, -117.8762667 33.7471028, -117.8763917 33.747103)",,
600494983,West 3rd Street,tertiary,False,True,187.961,"LINESTRING (-117.8744772 33.747106, -117.8734948 33.7471061, -117.8724443 33.7471126)",,
13306350,North Parton Street,tertiary,False,True,98.158,"LINESTRING (-117.874496 33.7479886, -117.8744963 33.74794, -117.8744818 33.7473052, -117.8744811 33.7472716, -117.8744792 33.7471904, -117.8744772 33.747106)",2,
41686715,West Santa Ana Boulevard,secondary,True,False,104.136,"LINESTRING (-117.874496 33.7479886, -117.8743431 33.7479827, -117.8739087 33.7480341, -117.873677 33.7481126, -117.8734281 33.7482268)",,
"[761692710, 402214314, 402214296, 402214299, 402214301]","['Santa Ana Boulevard', 'West Santa Ana Boulevard']",secondary,False,False,182.58700000000002,"LINESTRING (-117.874496 33.7479886, -117.8747389 33.7479776, -117.8748822 33.7479724, -117.8755122 33.7479719, -117.8755675 33.747973, -117.8759162 33.747979, -117.8759737 33.7479793, -117.8764702 33.7479737)",,
402214279,Civic Center Drive West,secondary,False,False,100.239,"LINESTRING (-117.8746731 33.7515331, -117.8735889 33.7515358)",5,25 mph
13306354,North Parton Street,residential,False,False,237.30499999999998,"LINESTRING (-117.8746731 33.7515331, -117.874669 33.7520967, -117.8746648 33.7525819, -117.8746648 33.7526676, -117.8746639 33.7527922, -117.8746627 33.7529577, -117.8746574 33.7536672)",,
"[402214202, 402214267, 402214213, 402214279]",Civic Center Drive West,secondary,False,True,168.579,"LINESTRING (-117.8746731 33.7515331, -117.8748627 33.7515326, -117.8752079 33.7515317, -117.8752904 33.7515315, -117.8755121 33.7515309, -117.8756553 33.7515306, -117.8758747 33.75153, -117.8764965 33.7515284)",5,25 mph
13306354,North Parton Street,residential,False,False,140.431,"LINESTRING (-117.8746574 33.7536672, -117.8746554 33.7538833, -117.8746482 33.7549105, -117.8746481 33.7549301)",,
13306354,North Parton Street,residential,False,True,237.305,"LINESTRING (-117.8746574 33.7536672, -117.8746627 33.7529577, -117.8746639 33.7527922, -117.8746648 33.7526676, -117.8746648 33.7525819, -117.874669 33.7520967, -117.8746731 33.7515331)",,
13343320,West 10th Street,residential,False,False,94.42099999999999,"LINESTRING (-117.8746574 33.7536672, -117.87523 33.7536659, -117.8756787 33.7536648)",,
13343320,West 10th Street,residential,False,True,101.235,"LINESTRING (-117.8746574 33.7536672, -117.8741188 33.7536685, -117.8735624 33.7536698)",,
13306354,North Parton Street,residential,False,True,140.43099999999998,"LINESTRING (-117.8746481 33.7549301, -117.8746482 33.7549105, -117.8746554 33.7538833, -117.8746574 33.7536672)",,
13336147,West Lime Street,residential,False,True,100.108,"LINESTRING (-117.8746481 33.7549301, -117.8741153 33.7549279, -117.8735653 33.7549234)",,
"[402194536, 554576899]",North Main Street,primary,False,False,95.08699999999999,"LINESTRING (-117.867609 33.7497313, -117.8676092 33.7497207, -117.8676132 33.7495312, -117.867627 33.7488763)","['4', '5']",45 mph
"[402214297, 402214315]",West Santa Ana Boulevard,secondary,True,False,97.025,"LINESTRING (-117.867609 33.7497313, -117.8681504 33.7497336, -117.8683936 33.7497347, -117.8686584 33.7497359)",3,25 mph
"[402194546, 402194535, 760477879]",North Main Street,primary,False,True,98.543,"LINESTRING (-117.867609 33.7497313, -117.8676079 33.7499827, -117.8676074 33.7500922, -117.8676069 33.7502158, -117.8676058 33.7502829, -117.8676045 33.7506175)","['4', '5']",45 mph
"[402194529, 402194547]",North Main Street,primary,False,True,96.76400000000001,"LINESTRING (-117.8676106 33.7514326, -117.8676134 33.7518651, -117.8676162 33.7523028)","['4', '5']",45 mph
"[402194531, 402194534]",North Main Street,primary,False,False,90.638,"LINESTRING (-117.8676106 33.7514326, -117.8676078 33.7510043, -117.8676073 33.7509328, -117.8676045 33.7506175)","['4', '5']",45 mph
402206261,North Broadway,secondary,False,True,36.194,"LINESTRING (-117.8697318 33.7471281, -117.8697337 33.7468026)",3,
"[402206259, 402206260, 185773678]",North Broadway,secondary,False,False,98.17900000000002,"LINESTRING (-117.8697318 33.7471281, -117.8697194 33.7474639, -117.8697151 33.7475873, -117.8697178 33.7477578, -117.8697205 33.7479822, -117.8697218 33.7480108)","['4', '5']",
600494983,West 3rd Street,tertiary,False,False,104.75800000000001,"LINESTRING (-117.8697318 33.7471281, -117.8698757 33.7471213, -117.8708646 33.7471201)",,
600494983,West 3rd Street,tertiary,False,True,96.898,"LINESTRING (-117.8697318 33.7471281, -117.8695887 33.7471347, -117.8690714 33.747135, -117.868684 33.7471352)",,
13347479,West 4th Street,residential,False,True,97.127,"LINESTRING (-117.8697218 33.7480108, -117.8686713 33.7480125)",2,25 mph
402205872,North Broadway,secondary,False,False,37.216,"LINESTRING (-117.8697218 33.7480108, -117.8697126 33.7483454)",5,
664200707,West 4th Street,residential,False,False,105.044,"LINESTRING (-117.8697218 33.7480108, -117.8708579 33.7480039)",2,25 mph
"[402206259, 402206260, 185773678]",North Broadway,secondary,False,True,98.179,"LINESTRING (-117.8697218 33.7480108, -117.8697205 33.7479822, -117.8697178 33.7477578, -117.8697151 33.7475873, -117.8697194 33.7474639, -117.8697318 33.7471281)","['4', '5']",
"[402205905, 402205868, 402205887]",North Broadway,secondary,False,True,96.50000000000001,"LINESTRING (-117.8697223 33.7488728, -117.8697261 33.7492161, -117.8697279 33.749379, -117.8697284 33.7494268, -117.8697309 33.7497294, -117.8697317 33.7497406)","['4', '5']",
402205926,North Broadway,secondary,True,False,60.977999999999994,"LINESTRING (-117.8697223 33.7488728, -117.8697646 33.7487883, -117.8697654 33.7484074, -117.8697126 33.7483454)",,
"[610133548, 1074795861]",West 5th Street,secondary,True,False,98.541,"LINESTRING (-117.8697223 33.7488728, -117.8691794 33.7488737, -117.8690138 33.748874, -117.8686565 33.7488746)","['3', '2']",
"[402205905, 402205868, 402205887]",North Broadway,secondary,False,False,96.5,"LINESTRING (-117.8697317 33.7497406, -117.8697309 33.7497294, -117.8697284 33.7494268, -117.8697279 33.749379, -117.8697261 33.7492161, -117.8697223 33.7488728)","['4', '5']",
"[402205929, 664200705]",North Broadway,secondary,True,False,117.78399999999999,"LINESTRING (-117.8697317 33.7497406, -117.8696843 33.7498191, -117.8696822 33.7504612, -117.8696814 33.7507212, -117.8697196 33.7507828)",2,
"[402214321, 402214323]",West Santa Ana Boulevard,secondary,True,False,231.38400000000001,"LINESTRING (-117.8697317 33.7497406, -117.8703187 33.7497405, -117.8704715 33.7497405, -117.8708207 33.7497463, -117.8709457 33.7497428, -117.8710311 33.7497405, -117.8712369 33.7497347, -117.8712755 33.749734, -117.8713895 33.7497196, -117.871482 33.7496981, -117.8715665 33.7496732, -117.8716392 33.7496457, -117.8717132 33.7496155, -117.8718727 33.749504, -117.8720879 33.7493463)",,25 mph
402205900,North Broadway,secondary,False,False,51.919,"LINESTRING (-117.8697142 33.7512497, -117.8697196 33.7507828)",5,
"[402205889, 402205874, 402205878]",North Broadway,secondary,False,False,237.358,"LINESTRING (-117.8697142 33.7512497, -117.8697115 33.7518463, -117.8697104 33.7520983, -117.8697098 33.7522346, -117.8697073 33.7527817, -117.8697071 33.7528392, -117.8697059 33.7531041, -117.8697049 33.7533843)","['4', '5']",30 mph
"[402214241, 402214265, 1104909934, 402214263]",Civic Center Drive West,secondary,False,True,96.72800000000002,"LINESTRING (-117.8697142 33.7512497, -117.869925 33.7513743, -117.8700142 33.7514161, -117.8701338 33.7514653, -117.8703404 33.751517, -117.870383 33.7515239, -117.8704284 33.7515301, -117.8705223 33.7515406, -117.8705939 33.7515454, -117.8706739 33.7515467)","['4', '5']",25 mph
"[402214273, 402214278]",Civic Center Drive West,secondary,True,False,122.80700000000002,"LINESTRING (-117.8697142 33.7512497, -117.8696103 33.7511121, -117.8693177 33.7508845, -117.869116 33.7507737, -117.8690594 33.7507426, -117.8688147 33.7506475, -117.8686622 33.7506458)","['3', '2']",25 mph
"[664287619, 402205884]",North Broadway,secondary,False,False,113.6,"LINESTRING (-117.8697049 33.7533843, -117.869702 33.753672, -117.8696991 33.7539798, -117.8696956 33.7544059)","['4', '5']",
"[402205889, 402205874, 402205878]",North Broadway,secondary,False,True,237.358,"LINESTRING (-117.8697049 33.7533843, -117.8697059 33.7531041, -117.8697071 33.7528392, -117.8697073 33.7527817, -117.8697098 33.7522346, -117.8697104 33.7520983, -117.8697115 33.7518463, -117.8697142 33.7512497)","['4', '5']",30 mph
681629009,West 10th Street,residential,False,False,88.678,"LINESTRING (-117.8697049 33.7533843, -117.8698032 33.7533608, -117.8706601 33.7533582)",,
681629009,West 10th Street,residential,False,True,96.64099999999999,"LINESTRING (-117.8697049 33.7533843, -117.8695894 33.7534119, -117.8692089 33.753409, -117.8689737 33.7534072, -117.8686643 33.7534048)",,
600494983,West 3rd Street,tertiary,False,False,187.961,"LINESTRING (-117.8724443 33.7471126, -117.8734948 33.7471061, -117.8744772 33.747106)",,
